"","Symbol","Security.Name","Market.Category","Test.Issue","Financial.Status","Round.Lot.Size","ETF","NextShares"
"1","AACG","ATA Creativity Global - American Depositary Shares, each representing two common shares","G","N","N",100,"N","N"
"2","AACQ","Artius Acquisition Inc. - Class A Common Stock","S","N","N",100,"N","N"
"3","AACQU","Artius Acquisition Inc. - Unit consisting of one ordinary share and one third redeemable warrant","S","N","N",100,"N","N"
"4","AACQW","Artius Acquisition Inc. - Warrant","S","N","N",100,"N","N"
"5","AAL","American Airlines Group, Inc. - Common Stock","Q","N","N",100,"N","N"
"6","AAME","Atlantic American Corporation - Common Stock","G","N","N",100,"N","N"
"7","AAOI","Applied Optoelectronics, Inc. - Common Stock","G","N","N",100,"N","N"
"8","AAON","AAON, Inc. - Common Stock","Q","N","N",100,"N","N"
"9","AAPL","Apple Inc. - Common Stock","Q","N","N",100,"N","N"
"10","AAWW","Atlas Air Worldwide Holdings - Common Stock","Q","N","N",100,"N","N"
"11","AAXJ","iShares MSCI All Country Asia ex Japan Index Fund","G","N","N",100,"Y","N"
"12","AAXN","Axon Enterprise, Inc. - Common Stock","Q","N","N",100,"N","N"
"13","ABCB","Ameris Bancorp - Common Stock","Q","N","N",100,"N","N"
"14","ABEO","Abeona Therapeutics Inc. - Common Stock","S","N","N",100,"N","N"
"15","ABIO","ARCA biopharma, Inc. - Common Stock","S","N","N",100,"N","N"
"16","ABMD","ABIOMED, Inc. - Common Stock","Q","N","N",100,"N","N"
"17","ABTX","Allegiance Bancshares, Inc. - Common Stock","G","N","N",100,"N","N"
"18","ABUS","Arbutus Biopharma Corporation - Common Stock","Q","N","N",100,"N","N"
"19","ACAD","ACADIA Pharmaceuticals Inc. - Common Stock","Q","N","N",100,"N","N"
"20","ACAM","Acamar Partners Acquisition Corp. - Class A Common Stock","S","N","N",100,"N","N"
"21","ACAMU","Acamar Partners Acquisition Corp. - Units","S","N","N",100,"N","N"
"22","ACAMW","Acamar Partners Acquisition Corp. - Warrant","S","N","N",100,"N","N"
"23","ACBI","Atlantic Capital Bancshares, Inc. - Common Stock","Q","N","N",100,"N","N"
"24","ACCD","Accolade, Inc. - common stock","Q","N","N",100,"N","N"
"25","ACER","Acer Therapeutics Inc. - Common Stock","S","N","N",100,"N","N"
"26","ACET","Adicet Bio, Inc. - Common Stock","G","N","N",100,"N","N"
"27","ACEV","ACE Convergence Acquisition Corp. - Class A Ordinary Shares","S","N","N",100,"N","N"
"28","ACEVU","ACE Convergence Acquisition Corp. - Unit","S","N","N",100,"N","N"
"29","ACEVW","ACE Convergence Acquisition Corp. - Warrant","S","N","N",100,"N","N"
