"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary.Quote","X"
"1","DDD","3D Systems Corporation","6.69","$810.39M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddd",NA
"2","MMM","3M Company","169.3","$97.52B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/mmm",NA
"3","WBAI","500.com Limited","2.98","$128.14M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/wbai",NA
"4","EGHT","8x8 Inc","16.49","$1.72B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",NA
"5","AHC","A.H. Belo Corporation","1.45","$34.63M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/ahc",NA
"6","AOS","A.O Smith Corporation","57.19","$9.23B","n/a","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/aos",NA
"7","ATEN","A10 Networks, Inc.","7.14","$556.41M","2014","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/aten",NA
"8","AIR","AAR Corp.","20.48","$722.96M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/air",NA
"9","AAN","Aaron&#39;s,  Inc.","58.67","$3.94B","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aan",NA
"10","ABB","ABB Ltd","26.85","$57.15B","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/abb",NA
"11","ABT","Abbott Laboratories","109.65","$194.14B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abt",NA
"12","ABBV","AbbVie Inc.","87.7","$154.78B","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abbv",NA
"13","ANF","Abercrombie & Fitch Company","16.37","$1.02B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/anf",NA
"14","AGD","Aberdeen Global Dynamic Dividend Fund","9.31","$116.84M","2006","n/a","n/a","https://old.nasdaq.com/symbol/agd",NA
"15","AWP","Aberdeen Global Premier Properties Fund","4.97","$424.48M","2007","n/a","n/a","https://old.nasdaq.com/symbol/awp",NA
"16","ACP","Aberdeen Income Credit Strategies Fund","9.98","$173.97M","2011","n/a","n/a","https://old.nasdaq.com/symbol/acp",NA
"17","JEQ","Aberdeen Japan Equity Fund, Inc. ","8.4","$112.63M","1992","n/a","n/a","https://old.nasdaq.com/symbol/jeq",NA
"18","ASGI","Aberdeen Standard Global Infrastructure Income Fund","16.91","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/asgi",NA
"19","AOD","Aberdeen Total Dynamic Dividend Fund","8.1","$853.99M","2007","n/a","n/a","https://old.nasdaq.com/symbol/aod",NA
"20","ABM","ABM Industries Incorporated","37.01","$2.47B","n/a","Finance","Diversified Commercial Services","https://old.nasdaq.com/symbol/abm",NA
"21","AKR","Acadia Realty Trust","10.55","$910.09M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/akr",NA
"22","ACEL","Accel Entertainment, Inc.","10.81","$1.03B","2017","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/acel",NA
"23","ACN","Accenture plc","228.69","$145.42B","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/acn",NA
"24","ACCO","Acco Brands Corporation","6.49","$613.06M","n/a","Consumer Durables","Publishing","https://old.nasdaq.com/symbol/acco",NA
"25","ATV","Acorn International, Inc.","15.075","$38.91M","2007","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/atv",NA
"26","AYI","Acuity Brands, Inc. ","99.62","$3.95B","n/a","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/ayi",NA
"27","GOLF","Acushnet Holdings Corp.","35.25","$2.62B","2016","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/golf",NA
"28","ADX","Adams Diversified Equity Fund, Inc.","16.63","$1.81B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adx",NA
"29","PEO","Adams Natural Resources Fund, Inc.","10.11","$301.06M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/peo",NA
"30","ADCT","ADC Therapeutics SA","33.84","$2.39B","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adct",NA
"31","AGRO","Adecoagro S.A.","4.91","$578.55M","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/agro",NA
"32","ADNT","Adient plc","21.71","$2.04B","2016","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/adnt",NA
"33","ADT","ADT Inc.","8.34","$6.88B","2018","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/adt",NA
"34","ATGE","Adtalem Global Education Inc.","26.63","$1.38B","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/atge",NA
"35","AAP","Advance Auto Parts Inc","155.32","$10.74B","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/aap",NA
