,x
1,ALACW
2,BOKFL
3,FTACW
4,HCACW
5,MFINL
6,NHLDW
7,OPINI
8,OXBRW
9,PAVMW
10,PHIOW
11,SHIPW
12,TCBIL
13,AGD
14,AWP
15,ACP
16,JEQ
17,ASGI
18,AOD
19,ADX
20,PEO
21,AVK
22,IMPX.U
23,AEFC
24,AEB
25,MGR
26,MGRB
27,MITT
28,MITT.A
29,MITT.B
30,MITT.C
31,AL.A
32,ALP.Q
33,AQNA
34,AQNB
35,AFB
36,AWF
37,AIO
38,CBH
39,NCV
40,NCV.A
41,NCZ
42,NCZ.A
43,ACV
44,NIE
45,ALL.B
46,ALL.G
47,ALL.H
48,ALL.I
49,ALLY.A
50,ALTG.WS
51,ALIN.A
52,ALIN.B
53,ALIN.E
54,ALUS.U
55,ALUS.WS
56,AMBC.WS
57,AEL.A
58,AEL.B
59,AFGB
60,AFGD
61,AFGE
62,AFGH
63,AMH.D
64,AMH.E
65,AMH.F
66,AMH.G
67,AMH.H
68,AIG.WS
69,AIG.A
70,DYFN
71,FINS
72,NLY.D
73,NLY.F
74,NLY.G
75,NLY.I
76,ANH.A
77,ANH.B
78,ANH.C
79,APO.A
80,APO.B
81,AFT
82,APSG.U
83,AIF
84,APTV.A
85,ABR.A
86,ABR.B
87,ABR.C
88,MTCN
89,ARNC
90,AFC
91,ARDC
92,ARES.A
93,ARGD
94,ARGO.A
95,AI.B
96,AI.C
97,AIC
98,AIW
99,AHH.A
100,ARR.C
101,ASA
102,ACND
103,ACND.U
104,ACND.WS
105,AHT.D
106,AHT.F
107,AHT.G
108,AHT.H
109,AHT.I
110,AHL.C
111,AHL.D
112,AHL.E
113,ASPL.U
114,ASB.C
115,ASB.D
116,ASB.E
117,ASB.F
118,AIZP
119,AGO.B
120,AGO.E
121,AGO.F
122,T.A
123,T.C
124,TBB
125,TBC
126,ATH.A
127,ATH.B
128,ATH.C
129,ASAQ.U
130,ATCO.D
131,ATCO.E
132,ATCO.G
133,ATCO.H
134,ATCO.I
135,AVAN.U
136,AVTR.A
137,AXS.E
138,AXO
139,BMRG.U
140,BMRG.WS
141,BGH
142,BCSF
143,BBN
144,BANC.D
145,BANC.E
146,SAN.B
147,BXS
148,BXS.A
149,BAC.A
150,BAC.B
151,BAC.C
152,BAC.E
153,BAC.K
154,BAC.L
155,BAC.M
156,BAC.N
157,BML.G
158,BML.H
159,BML.J
160,BML.L
161,BBDC
162,MCI
163,BDXB
164,BRK.A
165,BRK.B
166,BH.A
167,BIO.B
168,BGIO
169,BFZ
170,BCAT
171,CII
172,BHK
173,HYT
174,BTZ
175,DSU
176,BGR
177,BDJ
178,EGF
179,FRA
180,BFO
181,BGT
182,BOE
183,BME
184,BMEZ
185,BAF
186,BKT
187,BGY
188,BKN
189,BTA
190,BZM
191,MHE
192,BIT
193,MUI
194,MUA
195,BKK
196,BBK
197,BBF
198,BYM
199,BFK
200,BLE
201,BTT
202,MEN
203,MUC
204,MUH
205,MHD
206,MFL
207,MUJ
208,MHN
209,MUE
210,MUS
211,MVT
212,MYC
213,MCA
214,MYD
215,MYF
216,MFT
217,MIY
218,MYJ
219,MYN
220,MPA
221,MQT
222,MYI
223,MQY
224,BNY
225,BQH
226,BSE
227,BFY
228,BCX
229,BST
230,BSTZ
231,BSD
232,BUI
233,BHV
234,BGB
235,BGX
236,BSL
237,DCF
238,DHF
239,DMB
240,DSM
241,LEO
242,BXP.B
243,BSX.A
244,BHR.B
245,BHR.D
246,BWG
247,BSA
248,BMY.
249,BSN.U
250,DTLA.
251,BIP.A
252,RA
253,BEP.A
254,BF.A
255,BF.B
256,BC.A
257,BC.B
258,BC.C
259,CAI.A
260,CAI.B
261,COF.F
262,COF.G
263,COF.H
264,COF.I
265,COF.J
266,COF.K
267,CPSR
268,CPSR.U
269,CPSR.WS
270,CMO.E
271,CBL.D
272,CBL.E
273,CBO
274,IGR
275,CBX
276,PCPL.U
277,PCPL.WS
278,PRPB.U
279,PRPB.WS
280,CDR.B
281,CDR.C
282,CELG.
283,CEN
284,CNP.B
285,EBR.B
286,ECOM..........
287,CHMI.A
288,CHMI.B
289,CIM.A
290,CIM.B
291,CIM.C
292,CIM.D
293,CHN
294,CCX.U
295,CCX.WS
296,CCIV.U
297,CCIV.WS
298,CBB.B
299,CIT.B
300,CCAC.U
301,CCAC.WS
302,C.J
303,C.K
304,C.N
305,C.S
306,CFG.D
307,CFG.E
308,CIO.A
309,EMO
310,CEM
311,CTR
312,CWEN.A
313,CLII.U
314,CMS.B
315,CMSA
316,CMSC
317,CMSD
318,FOF
319,UTF
320,LDP
321,MIE
322,RQI
323,RNP
324,PSF
325,RFI
326,CRHC.U
327,CFXA
328,CXE
329,CIF
330,CXH
331,CMU
332,CLA.U
333,CLNY.G
334,CLNY.H
335,CLNY.I
336,CLNY.J
337,STK
338,CCZ
339,CIG.C
340,CODI.A
341,CODI.B
342,CODI.C
343,STZ.B
344,CORR.A
345,GYC
346,CMRE.B
347,CMRE.C
348,CMRE.D
349,CMRE.E
350,CRD.A
351,CRD.B
352,CEQP.
353,CCI
354,SRV
355,SZC
356,CUBB
357,CUBI.C
358,CUBI.D
359,CUBI.E
360,CUBI.F
361,DEH.U
362,DEH.WS
363,DHR.A
364,DHR.B
365,DCP.B
366,DCP.C
367,DEX
368,DDF
369,DRH.A
370,DSX.B
371,DMS
372,DMS.WS
373,DLR.C
374,DLR.G
375,DLR.J
376,DLR.K
377,DLR.L
378,DDT
379,DMYT.U
380,DMYT.WS
381,DMYD.U
382,DMYD.WS
383,DCUE
384,DRUA
385,DSL
386,DBL
387,DLY
388,DGNR.U
389,DGNR.WS
390,DS.B
391,DS.C
392,DS.D
393,DTB
394,DTJ
395,DTP
396,DTQ
397,DTW
398,DTY
399,DSE
400,DNP
401,DTF
402,DUC
403,DPG
404,DUK.A
405,DUKB
406,DUKH
407,DLNG.A
408,DLNG.B
409,DX.B
410,DX.C
411,CTA.A
412,CTA.B
413,ECC...........
414,ECCB
415,ECCX
416,ECCY
417,EIC
418,ETV
419,ETW
420,EOI
421,EOS
422,EFT
423,EFL
424,EFF
425,EHT
426,ETX...........
427,EOT
428,EVN
429,ETJ
430,EFR
431,EVF
432,EVG
433,EVT
434,ETO
435,ETG
436,ETB
437,EXD
438,ETY
439,EXG
440,EP.C
441,ELAT
442,EFC.A
443,AKO.A
444,AKO.B
445,EMPW.U
446,ENBA
447,ENR.A
448,ETP.C
449,ETP.D
450,ETP.E
451,EAB
452,EAE
453,EAI
454,ELC
455,ELJ
456,ELU
457,EMP
458,ENJ
459,ENO
460,ETI.
461,EZT
462,EPR.C
463,EPR.E
464,EPR.G
465,EQH.A
466,EQC.D
467,EQD.U
468,EQS
469,WTRU
470,EEA
471,XAN.C
472,ENPC.U
473,FNB.E
474,FPI.B
475,FST.U
476,AGM.A
477,AGM.C
478,AGM.D
479,AGM.E
480,AGM.F
481,FRT.C
482,FMN
483,FGNA.U
484,FMO
485,FCRW
486,FCRZ
487,FSLF
488,FHN.A
489,FHN.B
490,FHN.C
491,FHN.D
492,FHN.E
493,FRC
494,FRC.G
495,FRC.H
496,FRC.I
497,FRC.J
498,FRC.K
499,FFA
500,FMY
501,FDEU
502,FIF
503,FSD
504,FTHY
505,FPF
506,FEI...........
507,FPL
508,FIV
509,FCT
510,FGB
511,FEO
512,FAM
513,FMAC.U
514,DFP
515,PFD
516,PFO
517,FFC
518,FLC
519,FLY
520,FEAC.U
521,FEAC.WS
522,WPF.U
523,WPF.WS
524,BFT.U
525,F.B
526,F.C
527,FTV.A
528,FTAI
529,FTAI.A
530,FTAI.B
531,FVAC.U
532,FVAC.WS
533,FAII
534,FAII.U
535,FAII.WS
536,FT
537,FSK
538,FSKR
539,FUBO
540,FUSE
541,FUSE.U
542,FUSE.WS
543,GCV
544,GAB
545,GAB.G
546,GAB.H
547,GAB.J
548,GAB.K
549,GGZ
550,GGZ.A
551,GGT
552,GGT.E
553,GGT.G
554,GUT
555,GUT.A
556,GUT.C
557,GLEO.U
558,GLEO.WS
559,GNT
560,GNT.A
561,GLOG.A
562,GLOP.A
563,GLOP.B
564,GLOP.C
565,GMTA
566,GAM
567,GAM.B
568,GEN...........
569,GNE.A
570,GPJA
571,GFLU
572,GIX.U
573,GIX.WS
574,GIX.
575,GIK.U
576,GIK.WS
577,GB.WS
578,GMRE.A
579,GNL.A
580,GNL.B
581,GLP.A
582,GSL.B
583,GSLD
584,GL.C
585,GOAC.U
586,GOAC.WS
587,GSBD
588,GS.A
589,GS.C
590,GS.D
591,GS.J
592,GS.K
593,GS.N
594,GER
595,GRP.U
596,GTN.A
597,AJXA
598,GEF
599,GEF.B
600,GSAH
601,GSAH.U
602,GSAH.WS
603,GGM
604,GPM
605,GOF
606,GBAB
607,HGH
608,HIG.G
609,HVT.A
610,HL.B
611,HEI.A
612,HRI
613,HCXY
614,HCXZ
615,HTGC
616,HT.C
617,HT.D
618,HT.E
619,PCF
620,HGLB
621,HFRO
622,HFRO.A
623,HMLP.A
624,HZAC.U
625,HTFA
626,HPX
627,HPX.U
628,HPX.WS
629,HSBC.A
630,HYLN.WS
631,IFN
632,IIPR.A
633,INSI
634,IFFT
635,INSW.A
636,IPV.U
637,IPV.WS
638,VBF
639,VCV
640,VTA
641,IHIT
642,IHTA
643,VLT
644,IVR.B
645,IVR.C
646,IVR.A
647,OIA
648,VMO
649,VKQ
650,VPV
651,IQI
652,VVR
653,VTN
654,VGM
655,IIM
656,IRET.C
657,IACA.U
658,STAR..........
659,STAR.D
660,STAR.G
661,STAR.I
662,IVH
663,JPM.C
664,JPM.D
665,JPM.G
666,JPM.H
667,JPM.J
668,JOF
669,JWS.U
670,JWS.WS
671,JCAP.B
672,BTO
673,HEQ
674,JHS
675,JHI
676,HPF
677,HPI
678,HPS
679,PDT
680,HTD
681,HTY
682,JW.A
683,JW.B
684,JIH.U
685,JIH.WS
686,KSU.
687,KYN
688,KMF
689,KCAC.U
690,KCAC.WS
691,KEY.I
692,KEY.J
693,KEY.K
694,KIM.L
695,KIM.M
696,KKR.A
697,KKR.B
698,KKR.C
699,KIO
700,KF
701,LGI
702,LGC.U
703,LGC.WS
704,JBK
705,KTH
706,KTN
707,LEN.B
708,LXP
709,LXP.C
710,DFNS.U
711,DFNS.WS
712,USA
713,ASG
714,LGF.A
715,LGF.B
716,LOAK.U
717,LOAK.WS
718,SCD
719,LGVW.U
720,LGVW.WS
721,MFD
722,MGU
723,MCN
724,MH.A
725,MH.C
726,MH.D
727,MHLA
728,MHNC
729,MAIN
730,MMD
731,MKC.V
732,MTL.
733,MCC
734,MCV
735,MCX
736,MDLQ
737,MDLX
738,MFAC.U
739,MFAC.WS
740,MER.K
741,MET.A
742,MET.E
743,MET.F
744,MXE
745,MXF
746,MFA.B
747,MFA.C
748,MFO
749,MCR
750,MGF
751,MIN
752,MMT
753,MFM
754,MFV
755,MAA.I
756,HIE
757,TAP.A
758,MNR.C
759,MOG.A
760,MOG.B
761,MS.A
762,MS.E
763,MS.F
764,MS.I
765,MS.K
766,MS.L
767,CAF
768,MSD
769,EDD
770,IIF
771,MVF
772,MZA
773,MVC
774,MVCD
775,NBR.A
776,NTEST
777,NTEST.A
778,NTEST.B
779,NTEST.C
780,NNN.F
781,NRUC
782,NSA.A
783,NTCO
784,NM.G
785,NM.H
786,NAV.D
787,NSH.U
788,NSCO.WS
789,HYB
790,NFH.WS
791,GF
792,IRL
793,NRZ.A
794,NRZ.B
795,NRZ.C
796,NYCB.A
797,NYCB.U
798,NREF.A
799,NHF
800,NEE.I
801,NEE.J
802,NEE.K
803,NEE.N
804,NEE.O
805,NEE.P
806,NEE.Q
807,NGL.B
808,NGL.C
809,NMK.B
810,NMK.C
811,NI.B
812,NGA
813,NGA.U
814,NGA.WS
815,NS.A
816,NS.B
817,NS.C
818,NSS
819,NVG
820,NUV
821,NUW
822,NEA
823,NAZ
824,NKX
825,NCB
826,NCA
827,NAC
828,JCE
829,JHAA
830,JHB
831,JCO
832,JQC
833,JDD
834,DIAX
835,NDMO
836,JEMD
837,NEV
838,JFR
839,JRO
840,NKG
841,JGH
842,JHY
843,NXC
844,NXN
845,NID
846,NMY
847,NMT
848,NUM
849,NMS
850,NOM
851,JLS
852,JMM
853,NHA
854,NZF
855,NMCO
856,NMZ
857,NMI
858,NJV
859,NXJ
860,NRK
861,NYV
862,NNY
863,NAN
864,NUO
865,NPN
866,NQP
867,JPC
868,JPS
869,JPT
870,JPI
871,NAD
872,JRI
873,JRS
874,BXMX
875,SPXX
876,NIM
877,NXP
878,NXQ
879,NXR
880,NSL
881,JSD
882,NBB
883,JTD
884,JTA
885,NPV
886,NIQ
887,CTEST
888,CTEST.E
889,CTEST.G
890,CTEST.L
891,CTEST.O
892,CTEST.S
893,CTEST.V
894,OAC.U
895,OAC.WS
896,OACB.U
897,OAK.A
898,OAK.B
899,OXY.WS
900,OFG.A
901,OFG.B
902,OFG.D
903,OIBR.C
904,AONE
905,AONE.U
906,AONE.WS
907,SFTW.U
908,SFTW.WS
909,ORCC
910,PCGU
911,PLTR
912,PANA
913,PANA.U
914,PANA.WS
915,PRE.F
916,PRE.G
917,PRE.H
918,PRE.I
919,PEB.C
920,PEB.D
921,PEB.E
922,PEB.F
923,PEI.B
924,PEI.C
925,PEI.D
926,PMT.A
927,PMT.B
928,PDAC.U
929,PSTH
930,PSTH.WS
931,PBR.A
932,GHY
933,ISD
934,PCQ
935,PCK
936,PZC
937,PCM
938,PTY
939,PCN
940,PCI
941,PDI
942,NRGX
943,PGP
944,PHK
945,PKO
946,PFL
947,PFN
948,PMF
949,PML
950,PMX
951,PNF
952,PNI
953,PYN
954,RCS
955,PHD
956,PHT
957,MAV
958,MHI
959,PBI.B
960,PIC.U
961,PIC.WS
962,PMVC.U
963,PNC.P
964,PPX
965,PYS
966,PYT
967,PIAI.U
968,PGZ
969,PRIF.A
970,PRIF.B
971,PRIF.C
972,PRIF.D
973,PRIF.E
974,PRIF.F
975,PBB
976,PBC
977,PBY
978,PFH
979,PUK.
980,PUK.A
981,PSB.W
982,PSB.X
983,PSB.Y
984,PSB.Z
985,PSA.B
986,PSA.C
987,PSA.D
988,PSA.E
989,PSA.F
990,PSA.G
991,PSA.H
992,PSA.I
993,PSA.J
994,PSA.K
995,PSA.L
996,PSA.M
997,PMM
998,PIM
999,PMO
1000,PPT
1001,QTS.A
1002,QTS.B
1003,QVCC
1004,QVCD
1005,CTAA
1006,CTBB
1007,CTDD
1008,CTY
1009,CTZ
1010,RCA
1011,RCB
1012,RCP
1013,RBAC.U
1014,RBAC.WS
1015,RF.A
1016,RF.B
1017,RF.C
1018,RZA
1019,RZB
1020,RTP.U
1021,RNR.E
1022,RNR.F
1023,RPLA.U
1024,RPLA.WS
1025,REXR.A
1026,REXR.B
1027,REXR.C
1028,LEAP.U
1029,RFM
1030,RMM
1031,RMI
1032,RIV
1033,RIV.
1034,RMPL.
1035,RSF
1036,OPP
1037,RLJ.A
1038,RMG.U
1039,RMG.WS
1040,RY.T
1041,RDS.A
1042,RDS.B
1043,RGT
1044,RMT
1045,RVT
1046,RPT.D
1047,SB.C
1048,SB.D
1049,SMM
1050,SBG.U
1051,SAND..........
1052,SAF
1053,SAK
1054,SAR
1055,BFS.D
1056,BFS.E
1057,SCPE.U
1058,SCPE.WS
1059,SBBA
1060,KTF
1061,KSM
1062,SRL
1063,SCVX.U
1064,SCVX.WS
1065,SRE.A
1066,SRE.B
1067,SREA
1068,SRG.A
1069,SBSW
1070,SPG.J
1071,SITC.A
1072,SITC.K
1073,TSLX
1074,SLG.I
1075,IPOB.U
1076,IPOB.WS
1077,IPOC.U
1078,IPOC.WS
1079,SOR
1080,SJIJ
1081,SJIU
1082,SCE.G
1083,SCE.H
1084,SCE.J
1085,SCE.K
1086,SCE.L
1087,SOJA
1088,SOJB
1089,SOJC
1090,SOJD
1091,SOJE
1092,SOLN
1093,SPAQ.U
1094,SPAQ.WS
1095,SPE
1096,SPE.B
1097,SPB...........
1098,SR.A
1099,SRC.A
1100,SEAH.U
1101,STAG.C
1102,SWT
1103,STPK
1104,STPK.U
1105,STPK.WS
1106,STT.D
1107,STT.G
1108,SPLP.A
1109,SCA
1110,SCM
1111,STL.A
1112,SF.A
1113,SF.B
1114,SF.C
1115,SFB
1116,EDF
1117,EDI
1118,GJH
1119,GJO
1120,GJS
1121,INN.D
1122,INN.E
1123,SHO.E
1124,SHO.F
1125,SOAC.U
1126,SOAC.WS
1127,SWZ
1128,SBE.U
1129,SBE.WS
1130,SYF.A
1131,SNV.D
1132,SNV.E
1133,GJP
1134,GJR
1135,GJT
1136,TWND.U
1137,TWN
1138,NGLS.A
1139,TCO.J
1140,TCO.K
1141,TSI
1142,TGP.A
1143,TGP.B
1144,HQH
1145,THQ
1146,HQL
1147,THW
1148,TDA
1149,TDE
1150,TDI
1151,TDJ
1152,TDF
1153,EMF
1154,TEI
1155,GIM
1156,TVC
1157,TVE
1158,TFII
1159,BK.C
1160,CEE
1161,SCHW.C
1162,SCHW.D
1163,GDV
1164,GDV.G
1165,GDV.H
1166,GRX
1167,GRX.B
1168,GDL
1169,GDL.C
1170,TDW.WS.A
1171,TDW.WS.B
1172,SNPR.U
1173,NDP
1174,TYG
1175,TEAF
1176,NTG
1177,TTP
1178,TPZ
1179,TPGY.U
1180,PACE.U
1181,TREB.U
1182,TREB.WS
1183,TY
1184,TY.
1185,TRNE.U
1186,TRNE.WS
1187,TPVG
1188,TPVY
1189,TRTN.A
1190,TRTN.B
1191,TRTN.C
1192,TRTN.D
1193,TFC.F
1194,TFC.G
1195,TFC.H
1196,TFC.I
1197,TFC.O
1198,TFC.R
1199,TNP.C
1200,TNP.D
1201,TNP.E
1202,TNP.F
1203,TWO.A
1204,TWO.B
1205,TWO.C
1206,TWO.D
1207,TWO.E
1208,USB.A
1209,USB.H
1210,USB.M
1211,USB.O
1212,USB.P
1213,UMH.B
1214,UMH.C
1215,UMH.D
1216,UZA
1217,UZB
1218,UZC
1219,UZD
1220,UNMA
1221,UBP.H
1222,UBP.K
1223,BIF
1224,UTZ.WS
1225,VER.F
1226,VCIF
1227,VERT.U
1228,VRT.WS
1229,VGAC.U
1230,VGI
1231,ZTR
1232,VST.WS.A
1233,VVNT.WS
1234,VNO.K
1235,VNO.L
1236,VNO.M
1237,IAE
1238,IHD
1239,VOYA.B
1240,IGA
1241,IGD
1242,IDE
1243,IID
1244,IRR
1245,PPR
1246,VYGG.U
1247,WRB.B
1248,WRB.C
1249,WRB.D
1250,WRB.E
1251,WRB.F
1252,WRB.G
1253,WPG.H
1254,WPG.I
1255,WRE
1256,WSO.B
1257,WBS.F
1258,WFC.L
1259,WFC.N
1260,WFC.O
1261,WFC.P
1262,WFC.Q
1263,WFC.R
1264,WFC.T
1265,WFC.V
1266,WFC.W
1267,WFC.X
1268,WFC.Y
1269,WFC.Z
1270,EOD
1271,WCC.A
1272,WALA
1273,WEA
1274,TLI
1275,EMD
1276,GDO
1277,EHI
1278,HIX
1279,HIO
1280,HYI
1281,SBI
