,종목코드,종목명,ROE,PBR,12M,sector,industty
105,AIMC,Altra Industrial Motion Corp. - Common Stock,-1.73,1.46,0.51,Industrials,Specialty Industrial Machinery
108,AIRG,"Airgain, Inc. - Common Stock",-4.26,2.91,0.31,Technology,Communication Equipment
392,BIDU,"Baidu, Inc. - American Depositary Shares, each representing one tenth Class A ordinary share",-1.09,1.91,0.2,Communication Services,Internet Content & Information
415,BLIN,"Bridgeline Digital, Inc. - Common Stock",-0.69,3.19,0.41,Technology,Software-Infrastructure
830,CZR,"Caesars Entertainment, Inc. - Common Stock",-18.64,7.02,3.64,Consumer Cyclical,Resorts & Casinos
1685,KRNT,Kornit Digital Ltd. - Ordinary Shares,-1.6,8.99,1.3,Industrials,Specialty Industrial Machinery
2003,MTLS,Materialise NV - American Depositary Shares,-1.83,16.65,1.38,Technology,Software-Application
2052,NEO,"NeoGenomics, Inc. - Common Stock",-0.94,7.42,1.08,Healthcare,Diagnostics & Research
2140,NUAN,"Nuance Communications, Inc. - Common Stock",11.34,8.29,1.3,Technology,Software-Application
2214,ON,ON Semiconductor Corporation - Common Stock,-0.54,3.31,0.37,Technology,Semiconductors
2317,PCRX,"Pacira BioSciences, Inc. - Common Stock",-2.76,6.39,0.59,Healthcare,Drug Manufacturers-Specialty & Generic
2338,PENN,"Penn National Gaming, Inc. - Common Stock",-51.36,7.25,2.55,Consumer Cyclical,Resorts & Casinos
2445,PSNL,"Personalis, Inc. - Common Stock",-30.38,9.71,1.52,Healthcare,Diagnostics & Research
2616,RUN,Sunrun Inc. - Common Stock,-27.9,13.78,2.8,Technology,Solar
2689,SFIX,"Stitch Fix, Inc. - Class A Common Stock",-16.84,8.47,0.55,Consumer Cyclical,Specialty Retail
2716,SIC,"Select Interior Concepts, Inc. - Class A Common Stock",-0.97,1.16,-0.33,Consumer Cyclical,Residential Construction
3270,XNCR,"Xencor, Inc. - Common Stock",-13.61,4.09,0.23,Healthcare,Biotechnology
3451,AEO,"American Eagle Outfitters, Inc.",-16.65,2.56,0.01,Consumer Cyclical,Apparel Retail
4396,NPO,EnPro Industries,-0.96,1.14,-0.12,Industrials,Specialty Industrial Machinery
4619,GPS,"Gap, Inc. (The)",-35.32,3.2,0.14,Consumer Cyclical,Apparel Retail
4984,KMT,Kennametal Inc.,-0.38,2.28,0.15,Industrials,Tools & Accessories
5146,DOOR,Masonite International Corporation,13.43,3.99,0.83,Industrials,Building Products & Equipment
5520,OC,Owens Corning Inc,-14.75,2.26,0.23,Industrials,Building Products & Equipment
5801,RBA,Ritchie Bros. Auctioneers Incorporated,17.56,7.68,0.66,Industrials,Specialty Business Services
5904,SHAK,"Shake Shack, Inc.",-2.6,6.89,-0.2,Consumer Cyclical,Restaurants
5911,SSTK,"Shutterstock, Inc.",10.07,6.37,0.74,Communication Services,Internet Content & Information
5949,SAH,"Sonic Automotive, Inc.",-11.44,2.26,0.37,Consumer Cyclical,Auto & Truck Dealerships
6094,TEL,TE Connectivity Ltd.,-1.12,3.91,0.18,Technology,Electronic Components
6250,TWTR,"Twitter, Inc.",-15.39,4.75,0.18,Communication Services,Internet Content & Information
6328,VAR,"Varian Medical Systems, Inc.",14.23,8.11,0.52,Healthcare,Medical Instruments & Supplies
