"","per","pbr","roe","revenue_growth"
"DDD",NA,"1.77","-15.65","-28.7"
"MMM","19.41","9.07","48.81","-12.2"
"WBAI",NA,"1.73","-72.73","-67.2"
"EGHT",NA,"9.67","-88.03","26"
"AHC","3.62","0.68","-18.11","-24.8"
"AOS","30.68","5.43","17.62","-13.3"
"ATEN","148.4","5.22","3.57","6.7"
"AIR","25.11","0.79","-0.69","-26"
"AAN","78","2.63","-16.55","6.4"
"ABB","39.78","4.67","11.17","-14.2"
"ABT","63.76","6.35","9.86","-8.2"
"ABBV","18.65","10.23","225.62","26.3"
"ANF","17.35","1.21","-16.01","-17"
"ABM","16.54","1.6","-0.32","-15.4"
"AKR","20.6","0.59","1.35","-15"
"ACEL",NA,"16.23","-56.46","-99.6"
"ACN","29.16","8.6","32.08","-2"
"ACCO","7.76","0.89","11.4","-29.3"
"ATV","5.03","0.89","15.89","-0.2"
"AYI","15.03","1.76","12.27","-5"
"GOLF","44.86","2.89","6.59","-35.1"
"ADCT",NA,"12.04","-126.46",NA
"AGRO","102.38","0.7","-8.67","-20.2"
"ADNT",NA,"1.6","-23.15","-61.5"
"ADT",NA,"2.34","-19.77","3.7"
"ATGE","5.9","1.06","17.94","-1.7"
"AAP","23.84","2.88","12.25","7.3"
"ADSW","3.40k","2.9","0.03","-9.3"
"WMS","42.39","8.5","15.45","22.9"
"ASIX","15.83","0.98","6.14","-32.5"
"ACM",NA,"1.99","-3.78","-5.1"
"AEG","4.82","0.16","3.7","-73"
"AER","3.19","0.36","11.85","-6.6"
"AJRD","26.11","4.65","21.6","5.6"
"AMG","32.74","1.3","8.43","-20.4"
"AFL","9.3","0.9","10.16","-1.9"
"AGCO","108.91","2.26","1.47","-17.2"
"A","48.06","6.6","14.21","-1"
"AEM","40.03","3.82","9.96","5.8"
"ADC","33.92","1.62","4.94","28.1"
"AL","5.76","0.58","10.84","10.6"
"APD","34.33","5.61","16.58","-7.1"
"ALG","25.17","2.43","9.91","-5.8"
"AGI","63.99","1.29","2.07","-24.9"
"ALK","91.51","1.26","1.46","-81.6"
"AIN","16.12","2.53","16.17","-17.5"
"ALB","22.67","2.47","12.35","-13.7"
"ACI","6.83","5.64","41.4","21.4"
"AA",NA,"0.69","-6.76","-7.9"
"ALC",NA,"1.6","-3.33","-36.2"
"ALEX",NA,"0.78","-3.76","-33"
"ALX","26.12","5.54","19.38","-18.7"
"ARE","50.18","2.22","4.66","17.5"
"AQN","16.08","2.4","10.04","0"
"BABA","30.99","6.76","21.51","33.8"
"Y","152.56","0.93","-0.54","-1.4"
"ATI","5.01","0.68","-11.1","-28.7"
"ALLE","34.25","14.27","42.66","-19.4"
"ALE","16.73","1.24","7","-16.3"
"ADS","7.97","2.18","18.06","-27.4"
"AB","12.33","2.15","17.52","7.1"
"NFJ","22.8","0.9","12.37","-10.5"
"ALSN","11.47","6.61","61.33","-48.8"
"ALL","6.9","1.14","17.5","0.5"
"ALLY","16.18","0.77","4.87","-2.5"
"PINE","226.54","0.84","1.33","48.7"
"ALTG","7.39","2.12",NA,"41.4"
"AYX","2.06k","22.49","-7.1","17.3"
"ATUS","94.83","14.32","10.22","1"
"MO",NA,"12.97","-9.13","-2.5"
"ACH","37.8","0.44","0.78","-14.4"
"ALUS",NA,NA,NA,NA
"AMBC",NA,"0.57","-26.77","-24"
"ABEV","24.69","2.95","13.44","-4.4"
"AMC",NA,"0.18",NA,"-98.7"
"AMCR","29.72","3.9","12.05",NA
"AEE","23.73","2.44","10.46","1.5"
"AMRC","46.84","4.42","9.88","12.5"
"AMOV","35.94","5.27","11.89","0.6"
"AMX","36.34","5.33","11.89","0.6"
"AAT","32.37","1.14","4.54","-1.9"
"AXL",NA,"3.97","-146.01","-69.8"
"ACC","46.01","1.57","3.23","-14.6"
"AEO","9.44","2.56","-16.65","-15.1"
"AEL","12.29","0.58","5.91","30.1"
"AXP","21.62","3.99","18.45","-38.7"
"AFG","28.34","1.04","3.22","0.6"
"AFGC",NA,NA,NA,NA
"AMH","103.96","1.72","2.53","0.4"
"AIG","11.02","0.42","-6.7","-25.2"
"ARL","1.57","0.62","-3.4","-4.7"
"ARA",NA,NA,"19.2","-3.8"
"AWR","34.04","4.62","14.09","-2.7"
"AMT","56.32","29.74","34.56","1.2"
"AVD","38.57","1.27","3.27","-7.6"
"AWK","44.28","4.46","10.32","5.6"
"AMWL",NA,"16.98",NA,"93.6"
"COLD","70.56","3.56","5.22","10"
"AMP","8.85","3.16","39.95","-16.8"
"ABC","13.12","5.26","44.59","0.3"
"AMN","36.07","3.97","11.84","13.7"
