,종목코드,종목명,sector,industry,ROE,PER,12M
10,AAWW,Atlas Air Worldwide Holdings - Common Stock,Industrials,Airports & Air Services,-1.73,2.78,1.63
116,AKRO,"Akero Therapeutics, Inc. - Common Stock",Healthcare,Biotechnology,-4.26,8.31,0.25
145,ALT,"Altimmune, Inc. - Common Stock",Healthcare,Biotechnology,-1.09,3.47,5
249,ARNA,"Arena Pharmaceuticals, Inc. - Common Stock",Healthcare,Biotechnology,-0.69,6.4,0.66
350,BBCP,"Concrete Pumping Holdings, Inc.  - Common Stock",Industrials,Engineering & Construction,-18.64,5.51,0.14
415,BLIN,"Bridgeline Digital, Inc. - Common Stock",Technology,Software-Infrastructure,-1.6,0.72,0.35
515,CAR,"Avis Budget Group, Inc. - Common Stock",Industrials,Rental & Leasing Services,-1.83,9.92,0.35
611,CHFS,"CHF Solutions, Inc. - Common Stock",Healthcare,Medical Devices,-0.94,0.56,5.35
807,CVGI,"Commercial Vehicle Group, Inc. - Common Stock",Consumer Cyclical,Auto Parts,11.34,3.21,-0.22
830,CZR,"Caesars Entertainment, Inc. - Common Stock",Consumer Cyclical,Resorts & Casinos,-0.54,16.59,3.49
1192,FVE,Five Star Senior Living Inc. - Common Shares,Healthcare,Medical Care Facilities,-2.76,3.6,-0.12
1393,HEPA,"Hepion Pharmaceuticals, Inc. - Common Stock",Healthcare,Biotechnology,-51.36,0.45,-0.02
1437,HROW,"Harrow Health, Inc. - Common Stock",Healthcare,Drug Manufacturers-Specialty & Generic,-30.38,9.16,0.01
1689,KRTX,"Karuna Therapeutics, Inc. - Common Stock",Healthcare,Biotechnology,-27.9,0.16,4.78
1812,LQDA,"Liquidia Technologies, Inc. - Common Stock",Healthcare,Biotechnology,-16.84,4.12,-0.01
1874,MCFT,"MasterCraft Boat Holdings, Inc. - Common Stock",Consumer Cyclical,Recreational Vehicles,-0.97,10.06,0.29
1893,MDWD,MediWound Ltd. - Ordinary Shares,Healthcare,Biotechnology,-13.61,27.07,0.25
1966,MORF,"Morphic Holding, Inc. - Common Stock",Healthcare,Biotechnology,-16.65,7.28,1.06
2338,PENN,"Penn National Gaming, Inc. - Common Stock",Consumer Cyclical,Resorts & Casinos,-0.96,61.76,1.99
2538,REAL,"The RealReal, Inc. - Common Stock",Consumer Cyclical,Specialty Retail,-35.32,5.52,-0.27
2679,SEEL,"Seelos Therapeutics, Inc. - Common Stock",Healthcare,Biotechnology,-0.38,0.76,-0.11
2727,SINT,"SiNtx Technologies, Inc. - Common Stock",Healthcare,Medical Devices,13.43,5.25,-0.23
3082,UONE,"Urban One, Inc.  - Class A Common Stock",Communication Services,Broadcasting,-14.75,0.73,1.48
3279,XTLB,XTL Biopharmaceuticals Ltd. - American Depositary Shares,Healthcare,Biotechnology,17.56,6.12,0.72
3451,AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,-2.6,9.44,-0.1
3595,HOME,At Home Group Inc.,Consumer Cyclical,Specialty Retail,10.07,7.62,1.27
4619,GPS,"Gap, Inc. (The)",Consumer Cyclical,Apparel Retail,-11.44,4.71,0.24
5784,RFP,Resolute Forest Products Inc.,Basic Materials,Paper & Paper Products,-1.12,1.54,0.1
5949,SAH,"Sonic Automotive, Inc.",Consumer Cyclical,Auto & Truck Dealerships,-15.39,7.82,0.2
6246,TRQ,Turquoise Hill Resources Ltd.,Basic Materials,Copper,14.23,4.58,0.76
