,종목코드,종목명,sector,industry,ROE,PER,12M
384,BGFV,Big 5 Sporting Goods Corporation - Common Stock,Consumer Cyclical,Specialty Retail,7.35,14.37,2.19
441,BOOM,DMC Global Inc. - Common Stock,Energy,Oil & Gas Equipment & Services,0.08,17.08,-0.04
453,BPY,Brookfield Property Partners L.P. - Limited Partnership Units,Real Estate,Real Estate Services,1.25,10.23,-0.25
715,COWN,Cowen Inc. - Class A Common Stock,Financial Services,Capital Markets,9.43,5.52,0.31
1548,INBK,First Internet Bancorp - Common Stock,Financial Services,Banks-Regional,7.74,7.36,0.01
1696,KTCC,Key Tronic Corporation - Common Stock,Technology,Computer Hardware,4.14,20.77,0.49
2059,NESR,National Energy Services Reunited Corp. - Ordinary Shares,Energy,Oil & Gas Equipment & Services,4.13,17.98,0.15
2097,NMCI,Navios Maritime Containers L.P. - Common units representing limited partner interests,Industrials,Marine Shipping,5.27,4.86,-0.23
2203,OIIM,O2Micro International Limited - American Depositary Shares,Technology,Semiconductors,0.58,0.45,3.83
2259,OSN,"Ossen Innovation Co., Ltd. - American Depositary Shares",Basic Materials,Steel,9.13,2.68,0.13
2296,PANL,Pangaea Logistics Solutions Ltd. - Common Stock,Industrials,Marine Shipping,1.64,7.44,-0.02
2393,PME,Pingtan Marine Enterprise Ltd. - Ordinary Shares,Consumer Defensive,Farm Products,6.41,19,0.17
2899,TA,TravelCenters of America Inc.  - Common Stock,Consumer Cyclical,Specialty Retail,5.27,6.71,1.77
3313,ZKIN,"ZK International Group Co., Ltd - Ordinary Share",Basic Materials,Steel,10.26,4.67,0.28
3525,ARC,"ARC Document Solutions, Inc.",Industrials,Specialty Business Services,2.53,10.3,-0.09
3882,CAI,"CAI International, Inc.",Industrials,Rental & Leasing Services,5.73,16.16,0.27
3904,COF,Capital One Financial Corporation,Financial Services,Credit Services,0.45,7.72,-0.15
4066,CNO,"CNO Financial Group, Inc.",Financial Services,Insurance-Life,8.48,7.45,0.22
4151,CMRE,Costamare Inc.,Industrials,Marine Shipping,2.12,8.29,-0.02
4166,CEQP,Crestwood Equity Partners LP,Energy,Oil & Gas Midstream,1.45,6.65,-0.54
4357,EGO,Eldorado Gold Corporation,Basic Materials,Gold,3.76,17.05,0.64
4676,GSL,"Global Ship Lease, Inc.",Industrials,Marine Shipping,9.28,6.74,0.01
4898,IVZ,Invesco Plc,Financial Services,Asset Management,4.62,13.97,-0.17
4978,KB,KB Financial Group Inc,Financial Services,Banks-Regional,8.28,4.89,0.03
5054,LEJU,Leju Holdings Limited,Real Estate,Real Estate Services,6.81,18.33,0.64
5645,PKX,POSCO,Basic Materials,Steel,2.22,17.36,0.03
6136,TX,Ternium S.A.,Basic Materials,Steel,2.94,18.66,0.12
6141,TGH,Textainer Group Holdings Limited,Industrials,Rental & Leasing Services,4.06,15.94,0.58
6221,GTS,Triple-S Management Corporation,Healthcare,Healthcare Plans,4.69,10.9,0.36
6246,TRQ,Turquoise Hill Resources Ltd.,Basic Materials,Copper,3.11,4.58,0.76
