,symbol,name,capital,sector,industry,market,1y,1w
1,APPN,Appian Corporation - Class A Common Stock,5.56E+12,Technology,Software-Infrastructure,nasdaq,3.40813995,0.62915962185
2,APVO,Aptevo Therapeutics Inc. - Common Stock,22921000000,Healthcare,Biotechnology,nasdaq,3.8780218681,-0.028452616075
3,BLNK,Blink Charging Co. - Common Stock,2.86E+11,Consumer Cyclical,Specialty Retail,nasdaq,13.583333333,0.52671755725
4,CBAT,"CBAK Energy Technology, Inc. - Common Stock",1.96E+11,Industrials,Electrical Equipment & Parts,nasdaq,9.2375,0.079051383399
5,CRNC,Cerence Inc. - Common Stock,2.03E+12,Technology,Software-Application,nasdaq,5.0279439787,0.16873066958
6,FCEL,"FuelCell Energy, Inc. - Common Stock",7.50E+11,Industrials,Electrical Equipment & Parts,nasdaq,12.458333333,0.8078358209
7,FPRX,"Five Prime Therapeutics, Inc. - Common Stock",21757000000,Healthcare,Biotechnology,nasdaq,4.044973545,0.049532195927
8,FTEK,"Fuel Tech, Inc. - Common Stock",20679000000,Industrials,Pollution & Treatment Controls,nasdaq,4.1818181818,3.6216216216
9,FUV,"Arcimoto, Inc. - Common Stock",2.08E+11,Consumer Cyclical,Recreational Vehicles,nasdaq,6.8779069767,-0.153125
10,GRWG,GrowGeneration Corp. - Common Stock,8.61E+11,Consumer Cyclical,Home Improvement Retail,nasdaq,6.5884861407,0.20807879186
11,IDEX,"Ideanomics, Inc. - Common Stock",2.33E+11,Technology,Software-Application,nasdaq,1.9468085106,1.3083333333
12,IEA,"Infrastructure and Energy Alternatives, Inc. - Common Stock",1.71E+11,Industrials,Engineering & Construction,nasdaq,3.4814814815,0.12605752961
13,KXIN,Kaixin Auto Holdings - Ordinary Share,34933000000,Consumer Cyclical,Auto & Truck Dealerships,nasdaq,4.3428571429,1.4850498339
14,MARA,"Marathon Patent Group, Inc. - Common Stock",73768000000,Financial Services,Capital Markets,nasdaq,2.3968253968,0.38511326861
15,MRNA,"Moderna, Inc. - Common Stock",3.09E+13,Healthcare,Biotechnology,nasdaq,5.2361312108,0.3693004539
16,OAS,Oasis Petroleum Inc. - Common Stock,49751000000,Energy,Oil & Gas E&P,nasdaq,12.762097177,280.13674629
17,OEG,"Orbital Energy Group, Inc. - Common Stock",23272000000,Utilities,Utilities-Diversified,nasdaq,4.875,4.875
18,PSHG,Performance Shipping Inc. - Common Shares,29236000000,Industrials,Marine Shipping,nasdaq,5.8,0.074349442379
19,PTRS,Partners Bancorp - Common Stock,93471000000,Financial Services,Banks-Regional,nasdaq,240.17647059,0
20,RIOT,"Riot Blockchain, Inc - Common Stock",1.57E+11,Technology,Software-Application,nasdaq,3.6296296296,0.041666666667
21,SOLO,Electrameccanica Vehicles Corp. Ltd. - Common Stock,2147000000,Consumer Cyclical,Auto Manufacturers,nasdaq,3.6460674157,-0.14211618257
22,SUNW,"Sunworks, Inc. - Common Stock",52548000000,Technology,Solar,nasdaq,3.6861924686,0.2389380531
23,VERI,"Veritone, Inc. - Common Stock",2.81E+11,Technology,Software-Infrastructure,nasdaq,5.8932035599,0.30514699755
24,FTCH,Farfetch Limited,"905,000,000,000",Consumer Cyclical,Internet Retail,nyse,4.3079208911,0.17591579294
25,JMIA,Jumia Technologies AG,"81,231,000,000",Consumer Cyclical,Internet Retail,nyse,4.8555553968,0.52249273628
26,LGC,Legacy Acquisition Corp.,"14,222,000,000",Financial Services,Shell Companies,nyse,6424.78125,8167.8392303
27,NTZ,"Natuzzi, S.p.A.","3,401,000,000",Consumer Cyclical,Furnishings,nyse,4.535483871,0.3728
28,NIO,NIO Inc.,"2,625,000,000,000",Consumer Cyclical,Auto Manufacturers,nyse,20.951219512,0.11455106059
29,PDS,Precision Drilling Corporation,"20,446,000,000",Energy,Oil & Gas Drilling,nyse,18.057692308,0.08602739726
30,SOL,Renesola Ltd.,"20,393,000,000",Technology,Solar,nyse,4.0540540541,0.38262476895
