"","V1"
"s",Consumer Defensive
"s",Financial Services
"s",NA
"s",NA
"s",Industrials
"s",Financial Services
"s",Technology
"s",Industrials
"s",Technology
"s",Industrials
"s",Industrials
"s",Financial Services
"s",Healthcare
"s",Healthcare
"s",Healthcare
"s",Financial Services
"s",Healthcare
"s",Healthcare
"s",Financial Services
"s",Financial Services
"s",NA
"s",Financial Services
"s",Healthcare
"s",Healthcare
"s",Healthcare
"s",Financial Services
"s",Financial Services
"s",NA
"s",Financial Services
"s",Financial Services
"s",Financial Services
"s",Healthcare
"s",Healthcare
"s",Technology
"s",Healthcare
"s",Technology
"s",Technology
"s",Technology
"s",Financial Services
"s",Healthcare
"s",Healthcare
"s",Healthcare
"s",Healthcare
"s",
"s",Industrials
"s",Healthcare
"s",Technology
"s",Industrials
"s",Technology
"s",Healthcare
"s",NA
"s",Healthcare
"s",Healthcare
"s",Healthcare
"s",Industrials
"s",Healthcare
"s",Technology
"s",Technology
"s",Healthcare
"s",Healthcare
"s",Healthcare
"s",Healthcare
"s",Healthcare
"s",Industrials
"s",Technology
"s",Industrials
"s",Healthcare
"s",Utilities
"s",NA
"s",Utilities
"s",Healthcare
"s",Communication Services
"s",Technology
"s",Technology
"s",Healthcare
"s",Healthcare
"s",Real Estate
"s",Real Estate
"s",Healthcare
"s",Consumer Defensive
"s",Financial Services
"s",NA
"s",Financial Services
"s",NA
"s",
"s",Healthcare
"s",Consumer Defensive
"s",Healthcare
"s",Healthcare
"s",Technology
"s",Real Estate
"s",Real Estate
"s",Real Estate
"s",Real Estate
"s",Real Estate
"s",Healthcare
"s",Healthcare
"s",Technology
"s",Financial Services
"s",Healthcare
"s",Healthcare
"s",Healthcare
"s",Financial Services
"s",Healthcare
"s",Industrials
"s",Healthcare
"s",Financial Services
"s",Technology
"s",Industrials
"s",Industrials
"s",NA
"s",Technology
"s",Healthcare
"s",Healthcare
"s",Healthcare
"s",Healthcare
"s",Technology
"s",Healthcare
"s",Healthcare
"s",Healthcare
"s",Financial Services
"s",NA
"s",Financial Services
"s",
"s",Healthcare
"s",Consumer Defensive
"s",Healthcare
"s",Healthcare
"s",Healthcare
"s",Industrials
"s",Healthcare
"s",Industrials
"s",Healthcare
"s",Healthcare
"s",Healthcare
"s",Technology
"s",Healthcare
