,V1,
c,39038000000,
c,8.91135E+11,
c,N/A,
c,NA,
c,6.257E+12,
c,40908000000,
c,2.57346E+11,
c,3.372E+12,
c,2.111E+15,
c,1.776E+12,
c,6.339E+12,
c,1.823E+12,
c,1.11059E+11,
c,3891000000,
c,1.2474E+13,
c,5.45115E+11,
c,2.69035E+11,
c,6.931E+12,
c,3.90752E+11,
c,3.12815E+11,
c,NA,
c,2.88863E+11,
c,2.019E+12,
c,34309000000,
c,2.69947E+11,
c,2.80313E+11,
c,N/A,
c,NA,
c,1.2845E+13,
c,1.537E+12,
c,1.5536E+13,
c,2.845E+12,
c,35621000000,
c,2.865E+12,
c,3.55837E+11,
c,3.57E+11,
c,8.25586E+11,
c,1.379E+12,
c,1.90265E+11,
c,34336000000,
c,1.66455E+11,
c,1.75536E+11,
c,20937000000,
c,N/A,
c,1.65579E+11,
c,1.288E+12,
c,2.46489E+14,
c,85000000,
c,4.6202E+13,
c,26607000000,
c,N/A,
c,2.05081E+11,
c,8919000000,
c,1.37167E+11,
c,6.5302E+13,
c,7.192E+12,
c,5.3489E+13,
c,5.21783E+11,
c,1816000000,
c,1.546E+12,
c,1.126E+12,
c,5529000000,
c,27153000000,
c,4.71726E+11,
c,32518000000,
c,2.748E+12,
c,17381000000,
c,4.4483E+13,
c,N/A,
c,N/A,
c,5.26548E+11,
c,40273000000,
c,24167000000,
c,1.60978E+11,
c,24509000000,
c,7.94722E+11,
c,7.22417E+11,
c,1.072E+12,
c,3.10935E+11,
c,2.497E+12,
c,61662000000,
c,N/A,
c,N/A,
c,N/A,
c,N/A,
c,8.16321E+11,
c,1.33245E+11,
c,2.488E+12,
c,3.51892E+11,
c,3.26213E+11,
c,7.813E+12,
c,8.23E+11,
c,8.123E+12,
c,N/A,
c,N/A,
c,2.78916E+11,
c,1.46089E+11,
c,6.16983E+11,
c,N/A,
c,2.226E+12,
c,21272000000,
c,1.34121E+11,
c,26882000000,
c,21099000000,
c,2.598E+12,
c,2.257E+12,
c,5.37736E+11,
c,1.34674E+11,
c,27493000000,
c,55694000000,
c,91,332
c,1.8697E+13,
c,4.76171E+11,
c,1.846E+12,
c,19979000000,
c,1.006E+12,
c,32481000000,
c,6299000000,
