,index,value
0,FCAC,Falcon Capital Acquisition Corp
1,FCAU,Fiat Chrysler Automobiles N.V.
2,FCAP,"First Capital, Inc."
3,FCA,First Trust China AlphaDEX Fund
4,FCACU,Falcon Capital Acquisition Corp
5,FCAL,First Trust California Municipa
6,FLAU,Franklin FTSE Australia ETF
7,FCAN,First Trust Canada AlphaDEX Fun
8,ECAU,ECAU
9,FCAA,FCAA
10,FCAR,FCAR
