,index,value
0,PRSP,Perspecta Inc.
1,PRSCX,T. Rowe Price Science and Techn
2,ARSC,AMERICAN SECURITY RESOURCE CORP
3,PRTC,PureTech Health plc
4,POSC,POSITRON CORP
5,PSC,Principal U.S. Small-Cap Multi-
6,PRS,"Prudential Financial, Inc. 5.62"
7,PRSC,The Providence Service Corporat
8,PRAC,PRODUCTIVITY TECHNOLOGIES CORP
9,PGSC,PROGRESSIVE GREEN SOLUTIONS INC
10,PPSC,Portfolio  S&P Small Cap ETF
11,PRSN,Perseon Corporation
12,PRSI,PORTSMOUTH SQUARE INC
13,PRSS,PRSS
14,PREC,PRESTIGE CARS
15,PQSC,PQSC
16,PXSC,PXSC
17,XRSC,XRSC
18,SRSC,SRSC
19,PRFC,PRFC
20,PESC,PESC
21,JRSC,JRSC
22,PRSG,PRSG
23,PTSC,PTSC
