,index,value
0,PINS,"Pinterest, Inc."
1,WING,Wingstop Inc.
2,INS,Intelligent Systems Corporation
3,WGMCF,WINSTON GOLD CORP
4,WNS,WNS (Holdings) Limited Sponsore
5,WINT,"Windtree Therapeutics, Inc."
6,KINS,"Kingstone Companies, Inc"
7,WGC.CN,WinstonGold
8,WINA,Winmark Corporation
9,WINR,SIMPLICITY ESPORTS AND GAMING C
10,FINS,FINS
11,NVLIX,Nuveen Winslow Large-Cap Growth
12,WINSF,WINS FIN HLDGS INC
13,NWCAX,Nuveen Winslow Large-Cap Growth
14,WPHM,WINSTON PHARMACEUTICALS INC
15,WINC,Western Asset Short Duration In
16,6812.HK,WINSON HLDGS HK
17,1W9.F,WINSTON GOLD CORP.
18,VINS,VINDICATOR SILVER LEAD MINING C
19,3265.TWO,WINSTEK SEMICONDUCTOR CO LTD
20,0811.HK,XINHUA WINSHARE
21,601811.SS,XINHUA WINSHARE PUBLISHING & ME
22,NWCCX,Nuveen Winslow Large-Cap Growth
23,NWCFX,Nuveen Winslow Large-Cap Growth
24,LINS,LIFE INS CO ALA
