,index,value
0,CCL,Carnival Corporation
1,CBDL,CBD LIFE SCIENCES INC
2,CL,Colgate-Palmolive Company
3,CB,Chubb Limited
4,BL,"BlackLine, Inc."
5,CBLI,"Cleveland BioLabs, Inc."
6,CBLAQ,CBL & ASSOCIATES PROPERTIES INC
7,JBL,Jabil Inc.
8,CYBL,CYBERLUX CORP
9,CBRL,Cracker Barrel Old Country Stor
10,CHL,China Mobile Limited
11,CSL,Carlisle Companies Incorporated
12,BBL,BHP Group PlcSponsored
13,CLB,Core Laboratories N.V.
14,CBT,Cabot Corporation
15,CBLDQ,CBL & ASSOCIATES PROPERTIES INC
16,CRL,Charles River Laboratories Inte
17,CEL,"Cellcom Israel, Ltd."
18,CAL,"Caleres, Inc."
19,CBGL,CANNABIS GLOBAL INC
20,CBD,Companhia Brasileira de Distrib
21,GBL,"Gamco Investors, Inc."
22,CBU,"Community Bank System, Inc."
23,CBB,Cincinnati Bell Inc.
24,CBZ,"CBIZ, Inc."
