,index,value
0,QFIN,"360 DigiTech, Inc."
1,JFIN,Jiayin Group Inc.
2,AFIN,"American Finance Trust, Inc."
3,DFIN,"Donnelley Financial Solutions, "
4,MFIN,Medallion Financial Corp.
5,FFIN,"First Financial Bankshares, Inc"
6,BFIN,BankFinancial Corporation
7,PFIN,"P & F Industries, Inc."
8,LFIN,LONGFIN CORP
9,VFIN,Simplify Volt Fintech Disruptio
10,GFIN,Goldman Sachs Finance Reimagine
11,NWIN,NORTHWEST INDIANA BANCORP
12,NFSE,NFINASE INC
13,SFIN,SAFETEX INTERNATIONAL INC
14,EFIN,EASTERN MICHIGAN FINANCIAL CORP
15,WFIN,WFIN
16,CFIN,CITIZENS FINANCIAL CORPORATION 
17,NUIN,NUIN
18,HFIN,HFIN
19,NFINW,NFINW
20,GFIN,GFIN
21,NFINU,NFINU
22,NFIN,NFIN
