,index,value
0,RTX,Raytheon Technologies Corporati
1,RGRX,REGENERX BIOPHARMACEUTICALS
2,RPRX,Royalty Pharma plc
3,TRX,Tanzanian Gold Corporation
4,QTRX,Quanterix Corporation
5,LTRX,"Lantronix, Inc."
6,MTRX,Matrix Service Company
7,ATRX,ADHERA THERAPEUTICS INC
8,ARTRX,Artisan Global Opportunities Fu
9,CTRX,CTRX
10,RYTRX,Royce Total Return Fund Investm
11,URTRX,USAA Target Retirement 2030 Fun
12,RCTRX,Regan Total Return Income Fund 
13,RRTRX,T.Rowe Price 2045 Retirement Fu
14,RTRIX,Royce Total Return Fund - Insti
15,ITRX,INTERRA RESOURCES CORPORATION
16,WTRX,WTRX
17,UTRX,UNITRONIX CORP
18,RTRPX,American Funds Retirement Incom
19,RTRK,RED TRUCK ENTERTAINMENT INC
20,PRTRX,Putnam RetirementReady 2060 Fun
21,RTRRX,Royce Total Return Fund R Class
22,BRTRX,BMO Target Retirement 2055 Fund
23,RTNRX,RTNRX
24,VRTRX,Virtus DFA 2040 Target Date Ret
