,index,value
0,GRFS,"Grifols, S.A."
1,GFF,Griffon Corporation
2,GRIL,"Muscle Maker, Inc"
3,GRID,First Trust NASDAQ Clean Edge S
4,GRLF,GREEN LEAF INNOVATIONS INC
5,GRF.MC,GRIFOLS S.A.
6,GRF,"Eagle Capital Growth Fund, Inc."
7,GRNF,GRN HOLDING CORPORATION
8,GRIN,Grindrod Shipping Holdings Ltd.
9,GRIFX,Griffin Institutional Access Re
10,GIREX,Griffin Institutional Access Re
11,RRIF,RAINFOREST RESOURCES INC
12,GFM.L,GRIFFIN MINING LIMITED ORD $0.0
13,CRDIX,Griffin Institutional Access Cr
14,GCREX,Griffin Institutional Access Re
15,CGRIF,CANADIAN GENERAL INVESTMENTS
16,ZGEAEX,Griffin Capital Essential Asset
17,CRDTX,Griffin Institutional Access Cr
18,GRAL.MI,GRIFAL
