,index,value
0,LAC,Lithium Americas Corp.
1,PSAC,Property Solutions Acquisition 
2,LSCC,Lattice Semiconductor Corporati
3,USAC,"USA Compression Partners, LP"
4,LOAC,Longevity Acquisition Corporati
5,YSAC,Yellowstone Acquisition Company
6,BSAC,Banco Santander - Chile
7,DSAC,Duddell Street Acquisition Corp
8,LSAQ,LifeSci Acquisition II Corp.
9,GSAC,GELSTAT CORPORATION
10,LSAT,LeaderShares AlphaFactor Tactic
11,LFAC,LF Capital Acquistion Corp.
12,LSAF,LeaderShares AlphaFactor US Cor
13,FSAC,FSAC
14,LSAC,LifeSci Acquisition Corp.
15,LSC,LSC
16,LSACW,LSACW
17,LSACU,LifeSci Acquisition Corp.
18,LSACX,LSACX
19,LSYC,LSYC
20,HSAC,HSAC
21,LSAL,LSAL
