,index,value
0,TSM,Taiwan Semiconductor Manufactur
1,SU,Suncor Energy  Inc.
2,TSN,"Tyson Foods, Inc."
3,TSE,Trinseo S.A.
4,TU,Telus Corporation
5,KSU,Kansas City Southern
6,TS,Tenaris S.A.
7,CSU,Capital Senior Living Corporati
8,TRU,TransUnion
9,TSQ,"Townsquare Media, Inc."
10,TSC,"TriState Capital Holdings, Inc."
11,DSU,"Blackrock Debt Strategies Fund,"
12,TSI,"TCW Strategic Income Fund, Inc."
13,TSL,TSL
14,TSO,Tesoro Corporation
15,8015.T,TOYOTA TSUSHO CORP
16,1314.HK,TSUI WAH HLDG
17,3391.T,TSURUHA HOLDINGS INC
18,9435.T,HIKARI TSUSHIN INC
19,2418.T,TSUKADA GLOBAL HOLDINGS INC
20,6826.T,HONDA TSUSHIN KOGYO
21,6332.T,TSUKISHIMA KIKAI CO
22,8052.T,TSUBAKIMOTO KOGYO
23,1651.HK,TSUGAMI CHINA
24,2978.T,TSUKURUBA INC
