,index,value
0,SAVA,"Cassava Sciences, Inc."
1,SANA,SANA
2,SAM,"Boston Beer Company, Inc. (The)"
3,SAIA,"Saia, Inc."
4,SAML,SAMSARA LUGGUAGE INC
5,SMAA,SMA ALLIANCE INC
6,SGMA,"SigmaTron International, Inc."
7,SAMG,Silvercrest Asset Management Gr
8,SME.V,SAMA RESOURCES INC RESSOURCES S
9,SAA,ProShares Ultra SmallCap600
10,UAMA,UNITED AMERICAN CORP
11,0223.KL,SAMAIDEN
12,SAMA,Schultze Special Purpose Acquis
13,SAGO.ME,SAMARAENERGO PJSC
14,7829.T,SAMANTHA THAVASA JAPAN LIMITED
15,006110.KS,SamaAlum
16,SAMAW,SAMAW
17,S3419.MC,ACCIONES  SAMALO 2007 SICAV
18,SAMMF,SAMA RES INC / RESSOURCES SAMA 
19,SAMAU,Schultze Special Purpose Acquis
20,SAMTEL-R.BK,SAMART TELCOMS PUBLIC COMPANY L
21,SAMART.BK,SAMART CORPORATION PUBLIC COMPA
22,SDC.BK,SAMART DIGITAL PUBLIC COMPANY L
23,SDC-R.BK,SAMART DIGITAL PUBLIC COMPANY L
24,SNJG.SG,Samart Corp. PCL Reg. Shares (F
