,index,value
0,FTOC,FTAC Olympus Acquisition Corp.
1,FMAC,FirstMark Horizon Acquisition C
2,FTEC,Fidelity MSCI Information Techn
3,FCAC,Falcon Capital Acquisition Corp
4,FTOCU,FTAC Olympus Acquisition Corp.
5,ETAC,E.Merge Technology Acquisition 
6,ATAC,Altimar Acquisition Corporation
7,FPAC,Far Peak Acquisition Corporatio
8,FTAI,Fortress Transportation and Inf
9,CTAC,Cerberus Telecom Acquisition Co
10,TAC,TransAlta Corporation
11,ITAC,"Industrial Tech Acquisitions, I"
12,FTC,First Trust Large Cap Growth Al
13,FTGC,First Trust Global Tactical Com
14,FEAC,Flying Eagle Acquisition Corp.
15,FTAG,First Trust Indxx Global Agricu
16,TTAC,TrimTabs US Free Cash Flow Qual
17,FTA,First Trust Large Cap Value Alp
18,PTAC,PropTech Acquisition Corporatio
19,FSAC,FSAC
20,FRAC,FRAC
21,FAC,FAC
22,FTACX,FTACX
23,FTACU,FTACU
24,FVAC,FVAC
