,index,value
0,GRAMF,TPCO HOLDING CORP
1,MRAM,"Everspin Technologies, Inc."
2,GRA,W.R. Grace & Co.
3,GRAY,"Graybug Vision, Inc."
4,GRMM,GROM SOCIAL ENTERPRISES INC
5,GAM,"General American Investors, Inc"
6,GMM.DE,GRAMMER AG O.N.
7,CREDITACC.NS,CREDITACCESS GRAME
8,0OQX.L,GRAMMER AG GRAMMER ORD SHS
9,GMM.F,GRAMMER AG O.N.
10,GYE.BE,GMM GRAMMY  -FGN-  BA 1
