,index,value
0,TMO,Thermo Fisher Scientific Inc
1,UCO,ProShares Ultra Bloomberg Crude
2,TWO,Two Harbors Investment Corp
3,TSCO,Tractor Supply Company
4,ATCO,Atlas Corp.
5,SCO,ProShares UltraShort Bloomberg 
6,TCOM,Trip.com Group Limited
7,MCO,Moody's Corporation
8,TCS,Container Store (The)
9,THO,"Thor Industries, Inc."
10,TCON,"TRACON Pharmaceuticals, Inc."
11,CCO,"Clear Channel Outdoor Holdings,"
12,TCP,"TC PipeLines, LP"
13,TACO,"Del Taco Restaurants, Inc."
14,BCO,Brinks Company (The)
15,CTO,"CTO Realty Growth, Inc."
16,CO,Global Cord Blood Corporation
17,TCF,TCF Financial Corporation
18,TCCO,Technical Communications Corpor
19,TEO,Telecom Argentina SA
20,GCO,Genesco Inc.
21,TCX,Tucows Inc.
22,TPCO,Tribune Publishing Company
23,NTCO,Natura &Co Holding S.A.
24,DCO,Ducommun Incorporated
