,index,value
0,SMTC,Semtech Corporation
1,MMC,"Marsh & McLennan Companies, Inc"
2,SMMT,Summit Therapeutics Inc.
3,SMME,SMARTMETRIC INC
4,SMMF,"Summit Financial Group, Inc."
5,SMKC,SMOKE CARTEL INC
6,SMM,Salient Midstream  of Beneficia
7,SMMD,iShares Trust iShares Russell 2
8,SMBC,"Southern Missouri Bancorp, Inc."
9,SMMCU,South Mountain Merger Corp.
10,SMMV,iShares MSCI USA Small-Cap Min 
11,NMMC,North Mountain Merger Corp.
12,SMMU,Short Term Municipal Bond Activ
13,SOMC,SOUTHERN MICHIGAN BANCORP INC
14,SMMC,South Mountain Merger Corp.
15,SIMC,SIMCLAR INC
16,SMMCF,SUMMIT INDUSTRIAL INCOME REIT
17,SMMCX,Western Asset Managed Municipal
18,SMMCW,SMMCW
19,SMC,SMC
20,SMMR,SYMMETRY TECHNOLOGIES INC
21,STMC,STMC
22,SRMC,SRMC
23,SYMC,SYMC
24,SMAC,Sino Mercury Acquisition Corp.
