,index,value
0,BE,Bloom Energy Corporation
1,GTE,Gran Tierra Energy Inc.
2,PTE,"PolarityTE, Inc."
3,BTU,Peabody Energy Corporation
4,BTG,B2Gold Corp
5,BTI,British American Tobacco  Indus
6,BTN,"Ballantyne Strong, Inc."
7,BCE,"BCE, Inc."
8,DTE,DTE Energy Company
9,STE,STERIS plc (Ireland)
10,BKE,"Buckle, Inc. (The)"
11,BHE,"Benchmark Electronics, Inc."
12,BME,Blackrock Health Sciences Trust
13,BTEC,Principal Healthcare Innovators
14,BTZ,BlackRock Credit Allocation Inc
15,BOE,Blackrock Enhanced Global Divid
16,BTO,John Hancock Financial Opportun
17,BTEK,BlackRock Future Tech ETF
18,BTC,BTC
19,BNE,ETF Series Solutions Blue Horiz
20,BTT,BlackRock Municipal 2030 Target
21,BTHE,BOSTON THERAPEUTICS INC
22,BLE,BlackRock Municipal Income Trus
23,BSE,Blackrock New York Municipal In
24,BTA,BlackRock Long-Term Municipal A
