,index,value
0,AIM,AIM ImmunoTech Inc.
1,AMT,American Tower Corporation (REI
2,AIRT,"Air T, Inc."
3,AIMC,Altra Industrial Motion Corp.
4,AIT,Applied Industrial Technologies
5,ADMT,ADM TRONICS UNLIMITED INC
6,ABMT,ADVANCED BIOMEDICAL TECHNOLOGIE
7,AIMH,AIM RITE HOLDS CORP
8,CIMT,CIMT
9,BIMT,BITMIS CORP
10,AIPT,AIPT
11,AIMTX,AIMTX
12,ACMT,ACMAT CORP
13,AXMT,AXMT
14,AQMT,AQMT
15,AIMT,AIMT
