,index,value
0,PTON,"Peloton Interactive, Inc."
1,PFE,"Pfizer, Inc."
2,GE,General Electric Company
3,PENN,"Penn National Gaming, Inc."
4,OXY,Occidental Petroleum Corporatio
5,PSTH,Pershing Square Tontine Holding
6,SE,Sea Limited
7,PG,Procter & Gamble Company (The)
8,PM,Philip Morris International Inc
9,STPK,Star Peak Energy Transition Cor
10,CPE,Callon Petroleum Company
11,BE,Bloom Energy Corporation
12,PEP,"Pepsico, Inc."
13,WOOF,Petco Health and Wellness Compa
14,PTE,"PolarityTE, Inc."
15,PERI,Perion Network Ltd
16,JE,"Just Energy Group, Inc."
17,MPC,Marathon Petroleum Corporation
18,DE,Deere & Company
19,BTU,Peabody Energy Corporation
20,HPE,Hewlett Packard Enterprise Comp
21,FE,FirstEnergy Corp.
22,^GDAXI,DAX PERFORMANCE-INDEX
23,PBR,Petroleo Brasileiro S.A.- Petro
24,PKI,"PerkinElmer, Inc."
