,index,value
0,SNAP,Snap Inc.
1,SBBP,Strongbridge Biopharma plc
2,SNVP,SAVOY ENERGY CORPORATION
3,SNP,China Petroleum & Chemical Corp
4,SNBR,Sleep Number Corporation
5,SNMP,Sanchez Midstream Partners LP
6,INBP,INTEGRATED BIOPHARMA INC
7,NNBP,NANOBAC PHARMACEUTICALS INC
8,SNLP,SYNTROL CORPORATION
9,MNBP,MARS BANCORP INC
10,CNBP,CORNERSTONE BANCORP INC
11,SSBP,SSB BANCORP INC
12,ENBP,ENB FINACIAL CORP
13,SNBC,SNBC
14,FNBP,FNBP
15,SNBN,SNBN
16,SNBP,SNBP
17,SGBP,SGBP
18,SNBPD,SNBPD
