,index,value
0,NGHCO,National General Holdings Corp 
1,NGHCN,National General Holdings Corp 
2,NGHCP,National General Holdings Corp 
3,NGHCZ,National General Holdings Corp 
4,NGHC,National General Holdings Corp
5,NGHCX,Neuberger Berman Global Themati
