,index,value
0,BMRN,BioMarin Pharmaceutical Inc.
1,BMRA,"Biomerica, Inc."
2,BRG,Bluerock Residential Growth REI
3,BMRC,Bank of Marin Bancorp
4,BYRG,BUYER GROUP INTERNATIONAL INC
5,BURG,BURG
6,MBRG,Middleburg Financial Corporatio
7,BMRK,BENCHMARK ENERGY CORP NEV
8,BMR,BMR
9,BVRG,BVRG
10,BBRG,BBRG
11,BMRG,BMRG
