,index,value
0,NGVC,Natural Grocers by Vitamin Cott
1,NPHC,NUTRA PHARMA CORP
2,GHC,Graham Holdings Company
3,NGAC,NextGen Acquisition Corporation
4,NHC,National HealthCare Corporation
5,AGHC,AEON GLOBAL HEALTH CORP
6,NBHC,National Bank Holdings Corporat
7,NGHCO,National General Holdings Corp 
8,NGMC,NEXT GENERATION MGMT CORP
9,NGHCN,National General Holdings Corp 
10,NGHCP,National General Holdings Corp 
11,NGHCZ,National General Holdings Corp 
12,NGRC,NATIONAL GRAPHITE CORP
13,NGHC,National General Holdings Corp
14,CGHC,CAPITAL GROUP HOLDINGS INC
15,NGPC,NGPC
16,BGHC,BGHC
17,NGHT,NIGHTCULTURE INC
18,NGHCX,Neuberger Berman Global Themati
19,MGHC,MGHC
