,index,value
0,CVAC,CureVac N.V.
1,FMAC,FirstMark Horizon Acquisition C
2,FCAC,Falcon Capital Acquisition Corp
3,IVAC,"Intevac, Inc."
4,PVAC,Penn Virginia Corporation
5,FPAC,Far Peak Acquisition Corporatio
6,SVAC,Starboard Value Acquisition Cor
7,VAC,Marriott Vacations Worldwide Co
8,FVAL,Fidelity Value Factor ETF
9,FEAC,Flying Eagle Acquisition Corp.
10,FVAM,5:01 Acquisition Corp.
11,FVC,First Trust Dorsey Wright Dynam
12,FVACX,Nuveen Flagship Virginia Munici
13,MVAC,MOTORVAC TECHNOLOGIES INC
14,FSAC,FSAC
15,FAC,FAC
16,FRAC,FRAC
17,FVAC,FVAC
