,index,value
0,PSAC,Property Solutions Acquisition 
1,PDAC,Peridot Acquisition Corp.
2,PTC,PTC Inc.
3,PVAC,Penn Virginia Corporation
4,ETAC,E.Merge Technology Acquisition 
5,ATAC,Altimar Acquisition Corporation
6,TPAC,TRANS-PACIFIC AEROSPACE CO INC
7,CTAC,Cerberus Telecom Acquisition Co
8,TAC,TransAlta Corporation
9,PAC,Grupo Aeroportuario Del Pacific
10,ITAC,"Industrial Tech Acquisitions, I"
11,PTA,PTA
12,PTLC,Pacer Fund Trust Pacer Trendpil
13,PTIC,PropTech Investment Corporation
14,PTAM,POTASH AMERICA INC
15,PTAH,PTA HOLDINGS INC
16,PTRC,PETRO RIVER OIL CORPORATION
17,TTAC,TrimTabs US Free Cash Flow Qual
18,PTACU,PropTech Acquisition Corporatio
19,PTMC,Pacer Trendpilot US Mid Cap ETF
20,PTAC,PropTech Acquisition Corporatio
21,PRAC,PRODUCTIVITY TECHNOLOGIES CORP
22,PIAC,PRINCETON CAPITAL CORPORATION
23,PTACW,PTACW
24,PAAC,PAAC
