,index,value
0,MNKD,MannKind Corporation
1,MRK,"Merck & Company, Inc."
2,NK,"NantKwest, Inc."
3,MWK,"Mohawk Group Holdings, Inc."
4,CNK,Cinemark Holdings Inc Cinemark 
5,MCK,McKesson Corporation
6,MIK,"The Michaels Companies, Inc."
7,MGK,Vanguard Mega Cap Growth ETF
8,TNK,Teekay Tankers Ltd.
9,JNK,JNK
10,JNK,SPDR Bloomberg Barclays High Yi
11,MNR,Monmouth Real Estate Investment
12,MHK,"Mohawk Industries, Inc."
13,GNK,Genco Shipping & Trading Limite
14,DNK,Phoenix Tree Holdings Limited
15,MNTK,"Montauk Renewables, Inc."
16,MN,"Manning & Napier, Inc."
17,MNA,IQ Merger Arbitrage ETF
18,MNP,Western Asset Municipal Partner
19,MTK,MTK
20,FNK,First Trust Mid Cap Value Alpha
21,PNK,PNK
22,MNI,MNI
23,MLNK,MLNK
24,BNK,BNK
