,index,value
0,HCCCU,Healthcare Capital Corp.
1,HCCH,HL Acquisitions Corp.
2,HCCHU,HL Acquisitions Corp.
3,HCCHW,HCCHW
4,HCCHR,HL Acquisitions Corp.
5,HCCOU,HCCOU
