,index,value
0,MAC,Macerich Company (The)
1,MRAC,MRAC
2,FMAC,FirstMark Horizon Acquisition C
3,MFA,"MFA Financial, Inc."
4,MFC,Manulife Financial Corporation
5,MCAC,Mountain Crest Acquisition Corp
6,CFAC,CF Finance Acquisition Corp. II
7,MMAC,"MMA Capital Holdings, Inc."
8,MAAC,Montes Archimedes Acquisition C
9,MFNC,Mackinac Financial Corporation
10,MLAC,Malacca Straits Acquisition Com
11,MFACX,American Funds Mortgage Fund Cl
12,MVAC,MOTORVAC TECHNOLOGIES INC
13,MFAC,Megalith Financial Acquisition 
14,LFAC,LF Capital Acquistion Corp.
15,MPAC,MPAC
16,MUAC,MUAC
17,FAC,FAC
18,MKAC,MKAC
19,MFACU,MFACU
