,index,value
0,BSRC,BIOSOLAR INC
1,BTSC,BITCOIN SERVICES INC
2,ESTC,Elastic N.V.
3,ASTC,Astrotech Corporation
4,BNTC,Benitec Biopharma Inc.
5,BST,BlackRock Science and Technolog
6,BSTZ,BlackRock Science and Technolog
7,STC,Stewart Information Services Co
8,BTC,BTC
9,BMTC,Bryn Mawr Bank Corporation
10,BSTG,"Biostage, Inc."
11,BSAC,Banco Santander - Chile
12,JSTC,Adasina Social Justice All Cap 
13,CSTC,CANNING STR CORP
14,BSTN,BOSTON CARRIERS INC
15,USTC,USA REAL ESTATE HOLDING CO
16,BSTK,BRITE-STRIKE TACTI
17,BSFC,BLUE STAR FOODS CORP
18,BSGC,BIGSTRING CORPORATION
19,BSC,BSC
20,BSTCX,BlackRock Total Factor Fund - C
21,BSCT,Invesco BulletShares 2029 Corpo
22,BSTO,BLUE STAR OPPORTUNITIES CORP
23,HSTC,HST GLOBAL INC
24,TSTC,TSTC
