,index,value
0,TRTC,TERRA TECH CORP
1,IRTC,"iRhythm Technologies, Inc."
2,PRTC,PureTech Health plc
3,VRTC,VERITEC INC
4,WRLC,WINDROCK LD CO
5,ARTC,ARTC
6,WSTC,WSTC
7,CRTC,CRTC
8,WOTC,WOTC
9,WRT,WRT
10,WRTC,WRTC
