,index,value
0,LIT,Global X Lithium & Battery Tech
1,FST,FAST Acquisition Corp.
2,FITB,Fifth Third Bancorp
3,FIS,Fidelity National Information S
4,CANF,Can-Fite Biopharma Ltd Sponsore
5,FLT,"FleetCor Technologies, Inc."
6,PLNT,"Planet Fitness, Inc."
7,FTI,TechnipFMC plc
8,FRT,Federal Realty Investment Trust
9,ANF,Abercrombie & Fitch Company
10,CIT,CIT Group Inc (DEL)
11,WIT,Wipro Limited
12,FAT,FAT Brands Inc.
13,FITX,CREATIVE EDGE NUTRITION INC
14,IT,"Gartner, Inc."
15,FDIT,FINDIT INC
16,FET,"Forum Energy Technologies, Inc."
17,FIX,"Comfort Systems USA, Inc."
18,BIT,BIT
19,FIW,First Trust Water ETF
20,FITGF,FIT HON TENG LTD
21,FI,Frank's International N.V.
22,BFIT.AS,BASIC-FIT
23,FBT,First Trust Amex Biotech Index 
24,FIT,"Fitbit, Inc."
