,index,value
0,EIX,Edison International
1,EIDO,iShares MSCI Indonesia ETF
2,IDX,VanEck Vectors Indonesia Index 
3,EIDX,"Eidos Therapeutics, Inc."
4,EILDX,Eaton Vance Short Duration Gove
5,EIDOX,Eaton Vance Emerging Markets De
6,EIVDX,Wells Fargo Classic Value Fund 
7,ETIDX,Eventide Dividend Opportunities
8,EQIDX,WF Emerging Markets Equity Inco
9,EEIDX,Eaton Vance Emerging Markets De
10,EIDIX,Eaton Vance Tax-Managed Global 
11,EIMDX,Eaton Vance Maryland Municipal 
12,EBIDX,MFS International New Discovery
13,FEIDX,FA 529 EQUITY INCOME PORT-CL D
14,EAIDX,MFS International New Discovery
15,EIDDX,Eaton Vance Multi-Strategy Abso
16,EISDX,Carillon ClariVest Internationa
17,PEIDX,AllianzGI  NFJ Dividend Value F
18,JEIDX,JEIDX
19,ESIDX,WF International Bond Fund Admi
20,^IDX,^IDX
21,SEIDX,SEIDX
22,EIPDX,Parametric Dividend Income Fund
23,ECIDX,MFS International New Discovery
