,index,value
0,RKT,"Rocket Companies, Inc."
1,RSI,"Rush Street Interactive, Inc."
2,VST,Vistra Corp.
3,RXT,"Rackspace Technology, Inc."
4,FST,FAST Acquisition Corp.
5,ROST,"Ross Stores, Inc."
6,RWT,"Redwood Trust, Inc."
7,RSP,Invesco S&P 500 Equal Weight ET
8,WST,"West Pharmaceutical Services, I"
9,RSG,"Republic Services, Inc."
10,HST,"Host Hotels & Resorts, Inc."
11,BST,BlackRock Science and Technolog
12,ST,Sensata Technologies Holding pl
13,RSX,VanEck Vectors Russia ETF
14,RS,Reliance Steel & Aluminum Co.
15,RPT,RPT Realty
16,TRST,TrustCo Bank Corp NY
17,ARST,ARISTA FINANCIAL CORP
18,RVT,"Royce Value Trust, Inc."
19,RYT,Invesco S&P 500 Equal Weight Te
20,RNST,Renasant Corporation
21,RMT,"Royce Micro-Cap Trust, Inc."
22,GRST,ETHEMA HEALTH CORPORATION
23,SRT,"StarTek, Inc."
24,RSTN,RDE INC
