,index,value
0,LAC,Lithium Americas Corp.
1,CFAC,CF Finance Acquisition Corp. II
2,LFC,China Life Insurance Company Li
3,LOAC,Longevity Acquisition Corporati
4,LFAP,LGBTQ LOYALTY HOLDINGS INC
5,LFAC,LF Capital Acquistion Corp.
6,MFAC,Megalith Financial Acquisition 
7,LFACU,LF Capital Acquistion Corp.
8,LFACW,LFACW
9,LSAC,LifeSci Acquisition Corp.
10,FAC,FAC
11,LFYC,LFYC
