,index,value
0,MARA,"Marathon Patent Group, Inc."
1,AA,Alcoa Corporation
2,APA,Apache Corporation
3,AR,Antero Resources Corporation
4,CARA,"Cara Therapeutics, Inc."
5,ARNA,"Arena Pharmaceuticals, Inc."
6,ARAY,Accuray Incorporated
7,ARR,"ARMOUR Residential REIT, Inc."
8,ATA,Americas Technology Acquisition
9,ARI,Apollo Commercial Real Estate F
10,ATRA,"Atara Biotherapeutics, Inc."
11,ARW,"Arrow Electronics, Inc."
12,URA,Global X Uranium ETF
13,RA,Brookfield Real Assets Income F
14,ARE,Alexandria Real Estate Equities
15,ORA,"Ormat Technologies, Inc."
16,AVA,Avista Corporation
17,ARC,"ARC Document Solutions, Inc."
18,ARAV,"Aravive, Inc."
19,ARMK,Aramark
20,AIA,iShares Asia 50 ETF
21,ACA,"Arcosa, Inc."
22,GRA,W.R. Grace & Co.
23,VRA,"Vera Bradley, Inc."
24,2222.SR,Saudi Arabian Oil Co.
