,index,value
0,MXL,"MaxLinear, Inc."
1,MKL,Markel Corporation
2,XYL,Xylem Inc.
3,MYO,Myomo Inc.
4,MYT,"Urban Tea, Inc."
5,TYL,"Tyler Technologies, Inc."
6,MTL,Mechel PAO
7,MYE,"Myers Industries, Inc."
8,LYL,Dragon Victory International Li
9,MYJ,Blackrock MuniYield New Jersey 
10,MYD,"Blackrock MuniYield Fund, Inc."
11,MYI,Blackrock MuniYield Quality Fun
12,MYN,Blackrock MuniYield New York Qu
13,MYF,Blackrock MuniYield Investment 
14,MY,MY
15,MFL,Blackrock MuniHoldings Investme
16,MYC,Blackrock MuniYield California 
17,MYY,ProShares Short MidCap400
18,RYL,RYL
19,MIL,** SEE<MFCB>
20,MYSL,MY SCREEN MOBILE INC
