,index,value
0,FB,"Facebook, Inc."
1,IBM,International Business Machines
2,FSM,Fortuna Silver Mines Inc
3,HBM,Hudbay Minerals Inc.
4,ABM,ABM Industries Incorporated
5,FBC,"Flagstar Bancorp, Inc."
6,FBP,First BanCorp. New
7,FBT,First Trust Amex Biotech Index 
8,FBK,FB Financial Corporation
9,FM,iShares MSCI Frontier 100 Fund
10,FBM,"Foundation Building Materials, "
11,FDM,First Trust DJ Select MicroCap 
12,FAM,First Trust/Aberdeen Global Opp
13,FBMS,"The First Bancshares, Inc."
14,FMB,First Trust Managed Municipal E
15,FEM,First Trust Emerging Markets Al
16,FMBM,F&M BANK CORP
17,FBZ,First Trust Brazil AlphaDEX Fun
18,FLM,First Trust Global Engineering 
19,SBM,Short Basic Materials
20,FGM,First Trust Germany AlphaDEX Fu
21,0820EA.KL,FBMKLCI-EA
