,index,value
0,CFII,CF Finance Acquisition Corp. II
1,CUBI,"Customers Bancorp, Inc"
2,CTBI,"Community Trust Bancorp, Inc."
3,PFBI,"Premier Financial Bancorp, Inc."
4,CFB,"CrossFirst Bankshares, Inc."
5,CFBK,CF Bankshares Inc.
6,CFFI,C&F Financial Corporation
7,AFBI,"Affinity Bancshares, Inc."
8,CSBI,CARROLL SHELBY INTERNATIONAL IN
9,CNBI,CHINA BCT PHARMACY GROUP INC
10,CBBI,CBB BANCORP INC
11,CFRI,CONFORCE INTERNATIONAL INC
12,EFBI,EAGLE FINANCIAL BANCORP INC
13,CBI,CBI
14,CFBI,"Community First Bancshares, Inc"
15,WFBI,WFBI
16,CFI,CFI
17,CFPI,CALIFORNIA STYLE PALMS INC
18,SFBI,SFSB INC
19,CRBI,CRBI
20,FCBI,FCBI
21,CFBN,COMMUNITY 1ST BANC
22,JFBI,JFBI
23,CFMI,CFMI
24,COBI,COBI
