,index,value
0,MRK,"Merck & Company, Inc."
1,MU,"Micron Technology, Inc."
2,MO,"Altria Group, Inc."
3,M,Macy's Inc
4,MRO,Marathon Oil Corporation
5,MJ,ETFMG Alternative Harvest ETF
6,MP,MP Materials Corp.
7,MA,Mastercard Incorporated
8,KR,Kroger Company (The)
9,MS,Morgan Stanley
10,AR,Antero Resources Corporation
11,MAR,Marriott International
12,MT,Arcelor Mittal NY Registry Shar
13,EMR,Emerson Electric Company
14,TR,"Tootsie Roll Industries, Inc."
15,MRUUSD=X,MRU/USD
16,MRUBRX=X,MRU/BRX
17,MUR,Murphy Oil Corporation
18,COOP,Mr. Cooper Group Inc.
19,MG,Mistras Group Inc
20,OR,Osisko Gold Royalties Ltd
21,IR,Ingersoll Rand Inc.
22,MX,MagnaChip Semiconductor Corpora
23,R,"Ryder System, Inc."
24,NMR,Nomura Holdings Inc
