,index,value
0,AMAT,"Applied Materials, Inc."
1,MAG,MAG Silver Corporation
2,FMAG,FMAG
3,AMG,"Affiliated Managers Group, Inc."
4,AMAGX,Amana Mutual Funds Trust - Grow
5,AMPG,AMPLITECH GROUP INC.
6,AMAZ,AMAZING ENERGY OIL & GAS COMPAN
7,AMAL,Amalgamated Bank
8,AMHG,AMERGENT HOSPITALITY GROUP INC
9,AMAR,AMARILLO BIOSCIENCES
10,AMBG,AMBG INC
11,AHAG,ALPHA TECHNOLOGIES GROUP INC
12,EMAG,VanEck Vectors Emerging Markets
13,KMAG,KMA GLOBAL SOLUTIONS INTL INC
14,AMAG.VI,AMAG AUSTRIA METALL AG
15,AYAG,AMAYA GLOBAL HLDGS CORP
16,AMZG,AMZG
17,AMAP,AMAP
18,AM8.MU,AMAG AUSTRIA METALL INH.
19,AM8.SG,AMAG Austria Metall AG Inhaber-
20,OMAG,OMAG
21,AMSG,AMSG
22,AM8.F,AMAG AUSTRIA METALL INH.
23,AM8.DU,AMAG AUSTRIA METALL INH.
24,AMTG,"Apollo Residential Mortgage, In"
