,index,value
0,HAACU,Health Assurance Acquisition Co
1,HCICU,Hennessy Capital Investment Cor
2,ACACU,Acies Acquisition Corp.
3,BCACU,Brookline Capital Acquisition C
4,GCACU,Growth Capital Acquisition Corp
5,HCAC,Hennessy Capital Acquisition Co
6,HCCCU,Healthcare Capital Corp.
7,HCARU,Healthcare Services Acquisition
8,HCACX,Hartford Capital Appreciation F
9,FCACU,Falcon Capital Acquisition Corp
10,MCACU,Mountain Crest Acquisition Corp
11,HCACW,HCACW
12,HYACU,Haymaker Acquisition Corp. II
13,HCACU,Hennessy Capital Acquisition Co
14,ECACU,E-compass Acquisition Corp. - U
15,HSACU,HSACU
16,SCACU,SCACU
