,index,value
0,GE,General Electric Company
1,GEO,Geo Group Inc (The) REIT
2,IEC,IEC Electronics Corp.
3,GEN,"Genesis Healthcare, Inc."
4,GEL,"Genesis Energy, L.P."
5,UEC,Uranium Energy Corp.
6,WEC,"WEC Energy Group, Inc."
7,HEC,Hudson Executive Investment Cor
8,GPC,Genuine Parts Company
9,GTEC,Greenland Technologies Holding 
10,EC,Ecopetrol S.A.
11,GECC,Great Elm Capital Corp.
12,XEC,Cimarex Energy Co
13,GES,"Guess?, Inc."
14,GOSY,GECKOSYSTEMS INTERNATIONAL CORP
15,GEF,Greif Inc.
16,GHC,Graham Holdings Company
17,GEM,Goldman Sachs ActiveBeta Emergi
18,GXC,SPDR S&P China ETF
19,GRC,Gorman-Rupp Company (The)
20,MEC,"Mayville Engineering Company, I"
21,GER,Goldman Sachs MLP Energy Renais
22,OEC,Orion Engineered Carbons S.A
23,GENC,Gencor Industries Inc.
24,GFC.PA,GECINA
