,index,value
0,AMCI,AMCI Acquisition Corp.
1,FMCC,FEDERAL HOME LOAN MORTGAGE CORP
2,FMC,FMC Corporation
3,SMCI,"Super Micro Computer, Inc."
4,NMCI,Navios Maritime Containers L.P.
5,FMBI,"First Midwest Bancorp, Inc."
6,IMCI,INFINITE GROUP INC
7,QMCI,QUOTEMEDIA INC
8,FMCB,FARMERS & MERCHANTS BANCORP CA
9,MCI,Barings Corporate Investors
10,FMCKI,FEDERAL HOME LOAN MORTGAGE CORP
11,FMHI,First Trust Municipal High Inco
12,FMCCI,FEDERAL HOME LOAN MORTGAGE CORP
13,FMI,FMI
14,GMCI,GMCI
15,FMCIX,FOUNDRY MICRO CAP VALUE FD CLAS
16,FBCI,FBCI
17,VMCI,VEMICS INC
18,CMCI,CHINA MODERN AGRICULTURAL INC
19,FSCI,FSCI
20,EMCI,EMCI
21,FMCIW,FMCIW
22,FMCIR,FMCIR
23,FMCIU,FMCIU
24,FMCI,FMCI
