,index,value
0,AMRN,Amarin Corporation plc
1,AMRS,"Amyris, Inc."
2,AMRC,"Ameresco, Inc."
3,AMRX,"Amneal Pharmaceuticals, Inc."
4,AMRK,"A-Mark Precious Metals, Inc."
5,AMIH,AMERICAN INTERNATIONAL HLDGS CO
6,AMH,American Homes 4 Rent
7,AMPH,"Amphastar Pharmaceuticals, Inc."
8,AMR,AMR
9,AMEH,"Apollo Medical Holdings, Inc."
10,AMRB,American River Bankshares
11,AMLH,AMERICAN LEISURE HOLDINGS INC
12,AMRH,"Ameri Holdings, Inc."
13,AZRH,AZURE HLDG GROUP CORP
14,AMRR,AMERICAN MTLS RECOV & RECYCLING
15,AMRA,AMERICAN RACING CAPITAL INC
16,ARMH,ARMH
17,AMRI,"Albany Molecular Research, Inc."
18,AMRU,AMARU INC
19,AMRHW,AMRHW
20,AMRD,AMRD
21,EMRH,EMERGING HLDGS INC
22,AMRHX,American Growth Fund Series Two
23,SMRH,SUPERIOR MARKETING RESEARCH COR
24,AMRT,AMERICAN MART CORP
