,index,value
0,VIH,VPC Impact Acquisition Holdings
1,PH,Parker-Hannifin Corporation
2,PI,"Impinj, Inc."
3,PII,Polaris Inc.
4,PVH,PVH Corp.
5,OIH,VanEck Vectors Oil Services ETF
6,PIN,Invesco India ETF
7,PHI,PLDT Inc. Sponsored
8,PCH,PotlatchDeltic Corporation - Co
9,PTH,Invesco DWA Healthcare Momentum
10,JIH,"Juniper Industrial Holdings, In"
11,PBH,Prestige Consumer Healthcare In
12,CIH,China Index Holdings Limited - 
13,AIH,Aesthetic Medical International
14,IH,iHuman Inc.
15,PIO,Invesco Global Water ETF
16,PIC,Pivotal Investment Corporation 
17,PPH,VanEck Vectors Pharmaceutical E
18,PID,Invesco International Dividend 
19,PPIH,Perma-Pipe International Holdin
20,PIM,Putnam Master Intermediate Inco
21,PIE,Invesco DWA Emerging Markets Mo
22,PIHN,POLARIS INTERNATIONAL INC
23,PXH,Invesco FTSE RAFI Emerging Mark
24,PIHLIS.HE,Pihlajalinna Oyj
