,index,value
0,GADS,GADSDEN PROPERTIES INC
1,EARS,Auris Medical Holding Ltd.
2,KARS,KraneShares Electric Vehicles a
3,GARB,GARB OIL & POWER CORP
4,GNRS,Greenrose Acquisition Corp.
5,CARS,Cars.com Inc.
6,GWRS,"Global Water Resources, Inc."
7,GASS,"StealthGas, Inc."
8,TARS,"Tarsus Pharmaceuticals, Inc."
9,GERS,GREENSHIFT CORPORATION
10,AGRS,AGRISTAR
11,GARD,GARD
12,GARSX,Goldman Sachs Global Real Estat
13,GARZ,GARZ
14,GANS,GAINSCO INC
15,GAS,GAS
16,GRAS,GRAS
17,RARS,RARS
18,BARS,BARS
19,GSRS,GSRS
20,PARS,PARS
21,GARS,GARS
