,index,value
0,GHIV,"Gores Holdings IV, Inc."
1,GHVI,GHVI
2,GHIVW,GHIVW
3,GHIL,GREEN AND HILL INDUSTRIES INC
4,GHIVU,"Gores Holdings IV, Inc."
5,GHAV,GRAND HAVANA INC
6,GHII,GHII
7,GTIV,GTIV
8,GHI,GHI
