,index,value
0,DECK,Deckers Outdoor Corporation
1,TECK,Teck Resources Ltd
2,PEAK,"Healthpeak Properties, Inc."
3,PACK,Ranpak Holdings Corp
4,PICK,iShares MSCI Global Select Meta
5,PECK,"The Peck Company Holdings, Inc."
6,PCK,Pimco California Municipal Inco
7,PEBK,Peoples Bancorp of North Caroli
8,PECN,PHOTOELECTRON CORP
9,PEK,PEK
10,PRCK,PLACER CREEK MINING CO.
11,PECKW,PECKW
12,PECD,PET ECOLOGY BRANDS INC
13,MECK,MECK
