,index,value
0,AGEN,Agenus Inc.
1,OGEN,Oragenics Inc.
2,HGEN,"Humanigen, Inc."
3,SGEN,Seagen Inc.
4,GEN,"Genesis Healthcare, Inc."
5,CGEN,Compugen Ltd.
6,PGEN,"Precigen, Inc."
7,RGEN,Repligen Corporation
8,FGEN,"FibroGen, Inc"
9,QGEN,Qiagen N.V.
10,MVEN,THEMAVEN INC
11,MGEE,MGE Energy Inc.
12,IGEN,IGEN NETWORKS CORP
13,TGEN,Tecogen Inc.
14,MGLN,"Magellan Health, Inc."
15,MGON,MEGOLA INC
16,MGEN,"Miragen Therapeutics, Inc."
17,MEN,"Blackrock MuniEnhanced Fund, In"
18,XGEN,NEXGEN HLDGS CORP
19,DGEN,DELTAGEN INC
20,MGN,MGN
21,MAEN,MAEN
22,VGEN,VGEN
