,index,value
0,CETY,CLEAN ENERGY TECHNOLOGIES INC
1,CETX,Cemtrex Inc.
2,CATV,4CABLE TV INTL INC
3,ETV,Eaton Vance Corporation Eaton V
4,CET,Central Securities Corporation
5,CMTV,COMMUNITY BANCORP INC VERMONT
6,CEV,Eaton Vance California Municipa
7,PETV,PETVIVO HLDGS INC
8,CTV,CTV
9,CETG,CAPITAL CITY ENERGY GROUP INC
10,COTV,"Cotiviti Holdings, Inc."
11,CVTV,CHINA VTV LTD
12,CENV,CENV
13,CETH,CHINA ENERGY TECHNOLOGY CORP LT
14,CVETV,CVETV
15,CETC,Hongli Clean Energy Technologie
16,BETV,BETV
17,CETV,CETV
18,CE.V,CE.V
