,index,value
0,6S=F,"Swiss Franc Futures,Mar-2021"
1,RF=F,"Euro/Swiss Franc Futures,Jun-20"
2,BEN,"Franklin Resources, Inc."
3,FAN,First Trust Global Wind Energy 
4,FNV,Franco-Nevada Corporation
5,FKINX,Franklin Income Fund Class A1
6,FKDNX,Franklin Dynatech Fund Class A
7,ORAN,Orange
