,index,value
0,WPM,Wheaton Precious Metals Corp
1,WPC,W. P. Carey Inc. REIT
2,WPF,Foley Trasimene Acquisition Cor
3,WIX,Wix.com Ltd.
4,WPG,Washington Prime Group Inc.
5,LPX,Louisiana-Pacific Corporation
6,TPX,"Tempur Sealy International, Inc"
7,WEX,WEX Inc.
8,FPX,First Trust US Equity Opportuni
9,MPX,Marine Products Corporation
10,GPX,GP Strategies Corporation
11,WPP,WPP plc
12,WPX,"WPX Energy, Inc."
13,NWPX,Northwest Pipe Company
14,HPX,HPX Corp.
15,PPX,"PPL Capital Funding, Inc. 2013 "
16,QPX,AdvisorShares Q Dynamic Growth 
17,WPS,iShares International Developed
18,PX,PX
19,WPZ,WPZ
20,PWX,PWX
21,WPO,WPO
22,WHX,WHX
23,WPT,WPT
24,WP,WP
