,index,value
0,PACB,Pacific Biosciences of Californ
1,PACE,TPG Pace Tech Opportunities Cor
2,PACK,Ranpak Holdings Corp
3,PACW,PacWest Bancorp
4,PAND,Pandion Therapeutics Inc.
5,PAC,Grupo Aeroportuario Del Pacific
6,PSCD,Invesco S&P SmallCap Consumer D
7,PARD,PONIARD PHARMACEUT
8,PAYD,PAID INC
9,PACDQ,PACIFIC DRILLING SA
10,PACV,PACIFIC VENTURES GROUP INC
11,PACDX,Putnam Dynamic Asset Allocation
12,PECD,PET ECOLOGY BRANDS INC
13,PACA,PACA
14,PACC,PACIFIC CMA INC
15,PACDD,PACDD
16,PACI,PACI
17,PACDF,PACDF
18,^ACD,^ACD
19,PACO,PACO INTEGRATED ENERGY INC
20,PATD,PATD
21,PACQ,PACQ
22,PACD,PACD
