,index,value
0,OPTI,OPTEC INTERNATIONAL INC
1,VTI,Vanguard Total Stock Market ETF
2,KPTI,Karyopharm Therapeutics Inc.
3,PTE,"PolarityTE, Inc."
4,PTN,"Palatin Technologies, Inc."
5,PBI,Pitney Bowes Inc.
6,TTI,"Tetra Technologies, Inc."
7,PKI,"PerkinElmer, Inc."
8,BTI,British American Tobacco  Indus
9,PSTI,"Pluristem Therapeutics, Inc."
10,PEI,Pennsylvania Real Estate Invest
11,WTI,"W&T Offshore, Inc."
12,PI,"Impinj, Inc."
13,PCTI,"PCTEL, Inc."
14,PII,Polaris Inc.
15,ITI,"Iteris, Inc."
16,FTI,TechnipFMC plc
17,PTC,PTC Inc.
18,PDI,PIMCO Dynamic Income Fund
19,PCI,PIMCO Dynamic Credit and Mortga
20,PTR,PetroChina Company Limited
21,PTY,Pimco Corporate & Income Opport
22,PSI,Invesco Dynamic Semiconductors 
23,ATI,Allegheny Technologies Incorpor
24,PT,Pintec Technology Holdings Limi
