,index,value
0,VTI,Vanguard Total Stock Market ETF
1,TOT,Total SE
2,VTSAX,Vanguard Total Stock Market Ind
3,CRF,"Cornerstone Total Return Fund, "
4,BND,Vanguard Total Bond Market ETF
5,VT,Vanguard Total World Stock Inde
6,VXUS,Vanguard Total International St
7,FZROX,Fidelity Total Market Index Fun
8,ITOT,iShares Core S&P Total U.S. Sto
9,VBTLX,Vanguard Total Bond Market Inde
10,^DWCPF,Dow Jones U.S. Completion Total
11,VTSMX,Vanguard Index Trust Total Stoc
12,FSKAX,Fidelity Total Market Index Fun
13,VTIAX,Vanguard Total International St
14,BNDX,Vanguard Total International Bo
15,FP.PA,TOTAL
16,FTBFX,Fidelity Total Bond
17,SWTSX,Schwab Total Stock Market Index
18,CSQ,Calamos Strategic Total Return 
19,VGTSX,Vanguard Total International St
20,IXUS,iShares Core MSCI Total Interna
21,PTTRX,PIMCO Funds Total Return Fund I
22,VBTIX,Vanguard Bond Index Fund Total 
23,VITSX,Vanguard Index Trust Total Stoc
24,VBMFX,Vanguard Bond Index Fund Total 
