,index,value
0,LAC,Lithium Americas Corp.
1,CLA,Colonnade Acquisition Corp.
2,LCI,Lannett Co Inc
3,LC,LendingClub Corporation
4,HCA,"HCA Healthcare, Inc."
5,SLCA,"U.S. Silica Holdings, Inc."
6,LEA,Lear Corporation
7,LCY,"Landcadia Holdings III, Inc."
8,ACA,"Arcosa, Inc."
9,OCA,Omnichannel Acquisition Corp.
10,LCA,"Landcadia Holdings II, Inc."
11,LCAP,Lionheart Acquisition Corp. II
12,MCA,Blackrock MuniYield California 
13,FCA,First Trust China AlphaDEX Fund
14,RCA,Ready Capital Corporation 7.00%
15,NCA,Nuveen California Municipal Val
16,SCA,Stellus Capital Investment Corp
17,LCG,LCG
18,FLCA,Franklin FTSE Canada ETF
19,CA,CA
20,LCG,Sterling Capital Focus Equity E
21,LVCA,LAKE VICTORIA MINING CO
22,LMCA,Liberty Media Corporation - Ser
23,LCR,Leuthold Core ETF
24,LCAR,LESCARDEN INC
